Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,79,72.649,7.671,593,279,4%,254,20,-860%,25,193,-1380%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Basilicata,80,25.089,5.716,1.033,136,2%,126,23,-380%,10,181,000%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Calabria,237,63.355,13.263,700,443,3%,414,22,-210%,29,153,-650%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Campania,1.109,406.416,83.274,1.458,1.464,2%,1.353,24,-090%,111,194,-180%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Emilia-Romagna,456,376.939,28.876,647,1.480,5%,1.294,29,-460%,186,417,-050%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Friuli Venezia Giulia,70,106.193,6.238,517,156,3%,136,11,-750%,20,166,-910%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Lazio,635,333.283,36.233,630,2.073,6%,1.818,32,-240%,255,443,-560%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Liguria,128,101.209,3.643,239,421,12%,374,25,-340%,47,308,-960%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Lombardia,788,819.785,40.736,406,3.010,7%,2.556,25,-420%,454,453,-520%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Marche,151,99.945,5.238,346,369,7%,316,21,-540%,53,350,-860%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Molise,5,13.439,423,141,31,7%,26,9,400%,5,166,000%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
P.A. Bolzano,53,71.860,1.030,193,32,3%,26,5,-1610%,6,113,000%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
P.A. Trento,44,44.613,834,153,73,9%,54,10,-1000%,19,348,-500%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Piemonte,529,352.860,12.686,294,1.806,14%,1.658,38,-130%,148,343,-810%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Puglia,684,243.618,42.682,1.080,1.542,4%,1.374,35,-350%,168,425,-820%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Sardegna,83,55.765,15.230,945,314,2%,274,17,-490%,40,248,-240%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Sicilia,894,217.310,22.162,455,1.092,5%,959,20,-290%,133,273,150%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Toscana,367,234.097,16.458,446,1.263,8%,1.068,29,-340%,195,528,-490%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Umbria,114,55.402,2.654,305,160,6%,140,16,-210%,20,230,000%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Valle d'Aosta,23,11.259,534,427,31,6%,22,18,-1850%,9,720,000%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Veneto,417,418.144,18.278,375,818,4%,695,14,-100%,123,252,-240%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
Italia,6.946,4.123.230,363.859,610,16.993,5%,14.937,25,-320%,2.056,345,-470%,Dati della Protezione Civile del 11 Maggio 2021 ore 18:10
