Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,134,89.854,5.103,397,134,3%,124,10,330%,10,078,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Basilicata,2,31.977,1.196,218,20,2%,19,3,-500%,1,018,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Calabria,375,95.825,5.953,317,184,3%,164,9,-240%,20,107,1760%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Campania,776,500.768,19.744,348,373,2%,348,6,-060%,25,044,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Emilia-Romagna,1.656,469.222,28.839,649,981,3%,892,20,660%,89,200,850%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Friuli Venezia Giulia,673,137.070,8.022,669,322,4%,297,25,-100%,25,209,-740%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Lazio,1.376,437.303,26.132,457,891,3%,777,14,220%,114,199,090%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Liguria,271,126.794,6.237,413,259,4%,231,15,1850%,28,185,370%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Lombardia,1.486,954.741,43.078,432,1.220,3%,1.084,11,170%,136,136,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Marche,195,127.386,5.656,377,143,3%,112,7,000%,31,206,330%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Molise,13,15.338,292,98,13,4%,12,4,910%,1,034,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
P.A. Bolzano,331,92.315,6.640,1.244,114,2%,96,18,110%,18,337,590%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
P.A. Trento,119,53.758,2.146,394,92,4%,77,14,2620%,15,275,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Piemonte,1.215,409.065,15.376,360,507,3%,463,11,220%,44,103,230%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Puglia,229,282.210,4.886,124,154,3%,136,3,-350%,18,046,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Sardegna,181,80.190,3.056,191,102,3%,93,6,450%,9,056,1250%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Sicilia,789,330.768,14.543,300,387,3%,339,7,590%,48,099,430%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Toscana,659,307.217,11.278,307,325,3%,278,8,300%,47,128,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Umbria,80,68.633,2.013,233,51,3%,44,5,480%,7,081,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Valle d'Aosta,39,13.651,744,601,25,3%,24,19,910%,1,081,000%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Veneto,1.928,540.695,43.619,899,847,2%,723,15,840%,124,256,330%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Italia,12.527,5.164.780,254.553,430,7.144,3%,6.333,11,380%,811,137,250%,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
