Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,221,84.101,2.511,194,87,3%,81,6,520%,6,046,-1430%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Basilicata,38,30.995,877,159,25,3%,24,4,000%,1,018,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Calabria,143,89.008,3.544,187,119,3%,110,6,000%,9,048,2860%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Campania,814,473.030,10.959,192,303,3%,283,5,070%,20,035,1110%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Emilia-Romagna,549,436.840,9.023,202,391,4%,350,8,360%,41,092,250%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Friuli Venezia Giulia,418,120.238,3.649,303,145,4%,126,10,160%,19,158,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Lazio,796,401.337,10.991,191,583,5%,521,9,-040%,62,108,160%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Liguria,272,116.309,1.615,106,112,7%,102,7,000%,10,066,1110%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Lombardia,1.073,901.003,12.601,126,444,4%,402,4,610%,42,042,-1060%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Marche,301,117.711,2.916,193,93,3%,71,5,290%,22,145,-430%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Molise,34,14.763,174,58,7,4%,6,2,000%,1,033,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
P.A. Bolzano,338,80.860,2.498,469,72,3%,68,13,460%,4,075,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
P.A. Trento,52,49.915,592,109,21,4%,19,3,1880%,2,037,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Piemonte,423,387.994,5.143,119,250,5%,226,5,-300%,24,056,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Puglia,293,274.888,3.497,88,171,5%,151,4,-070%,20,051,530%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Sardegna,102,76.735,1.621,101,56,3%,50,3,-380%,6,037,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Sicilia,572,312.651,8.671,178,370,4%,320,7,-750%,50,103,420%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Toscana,418,292.834,6.811,184,293,4%,267,7,-360%,26,070,-710%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Umbria,96,65.962,1.472,169,41,3%,34,4,-1050%,7,080,1670%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Valle d'Aosta,7,12.372,85,68,6,7%,6,5,000%,0,000,000%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Veneto,931,487.192,13.609,279,281,2%,230,5,550%,51,105,-190%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
Italia,7.891,4.826.738,102.859,172,3.870,4%,3.447,6,030%,423,071,050%,Dati della Protezione Civile del 10 Novembre 2021 ore 17:48
