Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,179,84.577,2.769,214,86,3%,75,6,-740%,11,085,1000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Basilicata,30,31.066,885,160,26,3%,25,5,000%,1,018,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Calabria,184,89.613,3.696,195,121,3%,112,6,470%,9,048,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Campania,830,475.688,12.118,212,303,3%,285,5,-170%,18,032,590%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Emilia-Romagna,682,438.850,10.210,229,427,4%,388,9,720%,39,087,-710%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Friuli Venezia Giulia,524,121.981,4.689,389,163,3%,143,12,670%,20,166,530%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Lazio,1.067,404.371,12.271,213,619,5%,550,10,240%,69,120,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Liguria,232,117.134,2.002,131,103,5%,95,6,000%,8,052,-1110%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Lombardia,1.237,904.409,14.372,143,481,3%,430,4,-090%,51,051,410%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Marche,253,118.404,3.114,206,87,3%,67,4,-430%,20,132,-480%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Molise,15,14.819,211,70,5,2%,4,1,000%,1,033,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
P.A. Bolzano,359,82.030,3.311,622,74,2%,66,12,150%,8,150,3330%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
P.A. Trento,96,50.151,721,132,21,3%,18,3,-1000%,3,055,5000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Piemonte,483,389.250,5.789,134,277,5%,253,6,450%,24,056,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Puglia,277,275.692,3.787,96,179,5%,160,4,060%,19,048,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Sardegna,91,77.036,1.793,111,52,3%,44,3,-640%,8,050,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Sicilia,327,314.140,9.006,185,370,4%,320,7,390%,50,103,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Toscana,431,294.204,7.263,197,293,4%,260,7,120%,33,089,1790%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Umbria,97,66.221,1.510,174,42,3%,36,4,-530%,6,069,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Valle d'Aosta,25,12.437,134,107,8,6%,8,6,1430%,0,000,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Veneto,1.125,490.423,15.461,317,313,2%,258,5,620%,55,113,000%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
Italia,8.544,4.852.496,115.112,193,4.050,4%,3.597,6,200%,453,076,180%,Dati della Protezione Civile del 13 Novembre 2021 ore 19:10
