Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,585,386.656,56.668,4.424,328,1%,319,25,490%,9,070,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Basilicata,270,131.652,29.663,5.441,105,0%,103,19,000%,2,037,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Calabria,694,370.117,74.504,4.004,239,0%,230,12,180%,9,048,-1000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Campania,1.828,1.644.870,157.552,2.801,699,0%,663,12,000%,36,064,-530%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Emilia-Romagna,2.095,1.440.297,44.001,991,1.295,3%,1.260,28,350%,35,079,290%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Friuli Venezia Giulia,157,369.083,23.205,1.931,167,1%,159,13,000%,8,067,1430%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Lazio,1.762,1.515.949,146.442,2.556,993,1%,940,16,-430%,53,092,-540%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Liguria,344,435.412,14.134,931,276,2%,260,17,080%,16,105,2310%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Lombardia,2.351,2.810.129,143.696,1.440,1.132,1%,1.094,11,-050%,38,038,860%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Marche,580,455.853,6.350,424,144,2%,139,9,-070%,5,033,2500%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Molise,119,62.385,9.530,3.238,26,0%,24,8,430%,2,068,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
P.A. Bolzano,99,213.408,3.024,565,51,2%,47,9,2370%,4,075,10000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
P.A. Trento,66,163.574,3.123,576,68,2%,66,12,1000%,2,037,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Piemonte,1.014,1.164.181,46.992,1.099,681,1%,659,15,000%,22,051,1580%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Puglia,1.209,1.092.617,93.689,2.382,551,1%,526,13,000%,25,064,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Sardegna,500,290.282,25.952,1.632,281,1%,272,17,000%,9,057,1250%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Sicilia,1.227,1.140.150,113.803,2.354,763,1%,727,15,180%,36,074,-1000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Toscana,750,1.116.801,42.538,1.152,529,1%,508,14,610%,21,057,-450%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Umbria,359,274.861,10.469,1.210,210,2%,206,24,250%,4,046,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Valle d'Aosta,27,35.602,1.325,1.068,29,2%,28,23,370%,1,081,000%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Veneto,1.119,1.702.540,57.095,1.172,531,1%,505,10,000%,26,053,830%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
Italia,17.155,16.816.419,1.103.755,1.863,9.098,1%,8.735,15,090%,363,061,200%,Dati della Protezione Civile del 09 Maggio 2022 ore 23:45
