Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,834,307.089,35.831,2.797,302,1%,286,22,550%,16,125,2310%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Basilicata,532,103.467,24.741,4.539,110,0%,108,20,-360%,2,037,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Calabria,1.766,286.576,72.745,3.910,401,1%,376,20,-030%,25,134,1900%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Campania,3.723,1.371.686,161.622,2.874,733,0%,689,12,500%,44,078,480%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Emilia-Romagna,3.187,1.268.538,47.331,1.066,1.124,2%,1.085,24,500%,39,088,260%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Friuli Venezia Giulia,305,330.587,22.228,1.850,136,1%,130,11,160%,6,050,2000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Lazio,4.418,1.257.303,117.105,2.044,1.232,1%,1.158,20,280%,74,129,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Liguria,615,380.022,17.421,1.147,266,2%,256,17,360%,10,066,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Lombardia,2.718,2.506.129,153.586,1.539,1.014,1%,967,10,420%,47,047,680%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Marche,514,382.399,15.723,1.049,248,2%,239,16,580%,9,060,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Molise,147,47.738,8.335,2.832,27,0%,27,9,800%,0,000,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
P.A. Bolzano,291,203.970,6.042,1.130,78,1%,73,14,2370%,5,093,2500%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
P.A. Trento,170,148.074,3.943,727,57,1%,55,10,580%,2,037,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Piemonte,2.325,1.040.153,51.073,1.195,630,1%,610,14,340%,20,047,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Puglia,2.791,892.209,116.328,2.957,664,1%,625,16,-030%,39,099,1140%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Sardegna,1.000,223.102,30.515,1.919,343,1%,322,20,030%,21,132,1050%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Sicilia,900,953.526,226.017,4.676,1.019,0%,959,20,330%,60,124,-770%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Toscana,1.778,967.286,46.914,1.270,863,2%,824,22,440%,39,106,1470%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Umbria,688,228.555,19.971,2.308,216,1%,212,24,050%,4,046,3330%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Valle d'Aosta,23,32.415,1.164,938,18,2%,18,15,1250%,0,000,000%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Veneto,1.985,1.465.459,75.421,1.549,502,1%,477,10,410%,25,051,420%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
Italia,30.710,14.396.283,1.254.056,2.117,9.983,1%,9.496,16,340%,487,082,500%,Dati della Protezione Civile del 28 Marzo 2022 ore 18:15
