Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,3.167,101.800,12.714,989,189,1%,168,13,-230%,21,163,-1250%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Basilicata,549,35.724,4.109,750,62,2%,60,11,1320%,2,037,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Calabria,1.604,109.693,14.577,776,333,2%,305,16,-260%,28,149,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Campania,11.492,568.675,64.710,1.139,692,1%,651,11,1090%,41,072,1080%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Emilia-Romagna,7.088,526.757,68.324,1.537,1.455,2%,1.334,30,220%,121,272,710%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Friuli Venezia Giulia,2.110,153.733,10.996,917,308,3%,282,24,140%,26,217,-370%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Lazio,5.843,496.797,64.731,1.132,1.277,2%,1.127,20,530%,150,262,200%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Liguria,1.781,146.640,12.247,811,542,4%,499,33,-120%,43,285,1320%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Lombardia,39.152,1.175.906,215.154,2.159,2.035,1%,1.831,18,000%,204,205,680%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Marche,1.814,143.385,7.217,481,260,4%,217,14,-050%,43,286,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Molise,211,16.245,899,303,21,2%,20,7,000%,1,034,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
P.A. Bolzano,664,100.180,5.247,983,99,2%,81,15,250%,18,337,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
P.A. Trento,1.171,61.628,6.136,1.126,121,2%,100,18,640%,21,386,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Piemonte,11.515,483.268,63.886,1.495,1.278,2%,1.176,28,250%,102,239,300%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Puglia,4.200,303.350,19.740,503,271,1%,241,6,1870%,30,076,2500%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Sardegna,735,87.025,6.985,437,159,2%,144,9,140%,15,094,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Sicilia,3.963,367.125,37.946,784,834,2%,742,15,550%,92,190,340%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Toscana,15.830,364.713,58.039,1.582,676,1%,600,16,930%,76,207,-260%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Umbria,3.328,86.248,17.052,1.971,130,1%,122,14,700%,8,092,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Valle d'Aosta,295,15.841,1.865,1.505,31,2%,29,23,360%,2,161,000%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Veneto,10.376,636.695,86.889,1.791,1.319,2%,1.137,23,-260%,182,375,110%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
Italia,126.888,5.981.428,779.463,1.315,12.092,2%,10.866,18,270%,1.226,207,350%,Dati della Protezione Civile del 30 Dicembre 2021 ore 19:11
