Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,608,58931,12898,988,752,6%,661,51,-1.2%,91,6.97,4.6%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Basilicata,151,17065,3915,703,131,3%,118,21,12.4%,13,2.33,-18.8%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Calabria,414,40305,7088,368,273,4%,243,13,3%,30,1.56,-9.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Campania,2981,295589,93707,1620,1648,2%,1492,26,1.4%,156,2.7,9.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Emilia-Romagna,2845,289957,60666,1358,3506,6%,3161,71,2.2%,345,7.72,3.6%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Friuli Venezia Giulia,991,83619,13174,1088,558,4%,497,41,1.6%,61,5.04,-4.7%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Lazio,1800,250229,39338,671,2346,6%,2088,36,0.6%,258,4.4,-3.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Liguria,405,81610,6060,393,578,10%,514,33,-2.3%,64,4.15,-4.5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Lombardia,5849,650633,88668,878,6363,7%,5718,57,2.4%,645,6.38,4.5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Marche,921,75685,10832,713,769,7%,662,44,1.4%,107,7.05,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Molise,84,11398,1549,512,125,8%,105,35,6.1%,20,6.62,-16.7%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
P.A. Bolzano,203,55915,4652,874,207,4%,169,32,-5.1%,38,7.14,-5%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
P.A. Trento,370,36997,4127,760,247,6%,198,36,-1.5%,49,9.03,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Piemonte,2322,266861,26005,599,2848,11%,2605,60,2.9%,243,5.6,-0.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Puglia,1634,160542,36986,923,1571,4%,1399,35,0.1%,172,4.29,4.2%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Sardegna,128,42152,12765,783,197,2%,174,11,1.8%,23,1.41,-8%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Sicilia,672,158865,13522,272,771,6%,671,14,0.6%,100,2.01,-7.4%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Toscana,1302,169047,22897,615,1488,6%,1280,34,2.6%,208,5.59,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Umbria,283,47292,6597,749,487,7%,407,46,-1.5%,80,9.09,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Valle d'Aosta,33,8212,230,183,14,6%,12,10,0%,2,1.59,0%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Veneto,1677,348113,31674,645,1227,4%,1073,22,1.1%,154,3.14,4.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
Italia,25673,3149017,497350,826,26106,5%,23247,39,1.6%,2859,4.75,1.1%,Dati della Protezione Civile del 11 Marzo 2021 ore 18:47
