Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,255,401.315,27.636,2.157,251,1%,243,19,080%,8,062,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Basilicata,117,136.166,28.527,5.233,67,0%,66,12,-830%,1,018,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Calabria,409,384.217,50.566,2.718,194,0%,186,10,-210%,8,043,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Campania,968,1.693.386,138.338,2.460,488,0%,457,8,-240%,31,055,330%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Emilia-Romagna,1.224,1.475.747,28.485,642,1.053,4%,1.021,23,300%,32,072,-1110%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Friuli Venezia Giulia,72,376.598,21.041,1.751,112,1%,111,9,180%,1,008,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Lazio,1.341,1.558.322,135.970,2.373,760,1%,716,12,-180%,44,077,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Liguria,186,445.865,9.026,594,188,2%,182,12,110%,6,040,-1430%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Lombardia,972,2.872.369,120.673,1.209,778,1%,744,7,-340%,34,034,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Marche,273,469.221,4.121,275,110,3%,107,7,-780%,3,020,-2500%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Molise,44,65.173,4.964,1.687,20,0%,17,6,-560%,3,102,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
P.A. Bolzano,48,216.926,2.118,396,37,2%,37,7,880%,0,000,-10000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
P.A. Trento,34,166.608,1.942,358,42,2%,40,7,2120%,2,037,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Piemonte,694,1.189.836,31.327,733,443,1%,426,10,140%,17,040,-1050%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Puglia,584,1.121.988,43.122,1.096,383,1%,363,9,140%,20,051,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Sardegna,636,305.863,21.200,1.333,200,1%,192,12,-300%,8,050,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Sicilia,731,1.174.513,83.679,1.731,635,1%,602,12,030%,33,068,2220%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Toscana,450,1.141.775,31.848,862,366,1%,349,9,480%,17,046,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Umbria,212,283.385,8.559,989,135,2%,134,15,-150%,1,012,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Valle d'Aosta,19,36.356,1.106,891,20,2%,19,15,000%,1,081,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Veneto,551,1.741.944,38.799,797,397,1%,376,8,-230%,21,043,000%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
Italia,9.820,17.257.573,833.047,1.406,6.679,1%,6.388,11,-020%,291,049,-030%,Dati della Protezione Civile del 23 Maggio 2022 ore 23:45
