Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,286,88.664,4.716,364,123,3%,114,9,360%,9,070,1250%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Basilicata,57,31.713,1.106,200,12,1%,12,2,-1430%,0,000,000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Calabria,300,93.891,4.856,256,155,3%,137,7,-070%,18,095,2000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Campania,1.327,494.344,18.107,317,333,2%,308,5,-130%,25,044,1360%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Emilia-Romagna,1.633,460.131,23.542,527,762,3%,687,15,190%,75,168,000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Friuli Venezia Giulia,820,133.351,7.624,632,309,4%,284,24,-340%,25,207,-380%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Lazio,1.493,428.512,22.066,383,815,4%,727,13,510%,88,153,-540%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Liguria,579,124.127,4.884,320,186,4%,164,11,310%,22,144,480%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Lombardia,2.809,940.476,35.384,353,1.026,3%,912,9,210%,114,114,270%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Marche,476,125.249,5.221,345,123,2%,98,6,650%,25,165,000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Molise,10,15.265,424,141,13,3%,12,4,910%,1,033,000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
P.A. Bolzano,533,89.880,6.016,1.129,104,2%,92,17,-710%,12,225,-1430%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
P.A. Trento,176,52.665,1.848,339,60,3%,52,10,1300%,8,147,1430%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Piemonte,1.189,402.583,12.240,284,447,4%,413,10,330%,34,079,-560%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Puglia,291,280.347,4.355,110,146,3%,126,3,-380%,20,051,-480%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Sardegna,189,79.349,2.881,179,86,3%,73,5,140%,13,081,-710%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Sicilia,836,326.462,12.822,263,356,3%,311,6,130%,45,092,230%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Toscana,709,303.379,9.892,268,294,3%,246,7,-120%,48,130,-200%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Umbria,153,67.885,1.744,200,53,3%,44,5,230%,9,103,-1000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Valle d'Aosta,48,13.369,721,577,26,4%,24,19,-1430%,2,160,10000%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Veneto,3.116,525.803,35.705,732,664,2%,549,11,280%,115,236,950%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
Italia,17.030,5.077.445,216.154,362,6.093,3%,5.385,9,160%,708,119,140%,Dati della Protezione Civile del 03 Dicembre 2021 ore 18:21
