Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,1.308,527.007,25.191,1.966,225,1%,217,17,090%,8,062,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Basilicata,333,175.005,8.733,1.602,40,0%,39,7,-490%,1,018,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Calabria,2.116,519.183,68.720,3.693,218,0%,206,11,-330%,12,064,-1430%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Campania,3.143,2.155.360,119.824,2.130,450,0%,431,8,120%,19,034,-1740%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Emilia-Romagna,1.420,1.798.024,29.870,673,1.298,4%,1.258,28,-250%,40,090,-240%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Friuli Venezia Giulia,1.246,467.054,10.158,845,221,2%,217,18,-650%,4,033,-2000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Lazio,2.781,1.995.126,144.712,2.525,813,1%,763,13,-520%,50,087,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Liguria,1.158,551.513,10.130,667,367,4%,362,24,-160%,5,033,-3750%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Lombardia,4.654,3.432.815,50.814,509,918,2%,891,9,-280%,27,027,-1000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Marche,1.359,593.663,11.387,760,133,1%,128,9,-300%,5,033,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Molise,153,85.125,6.377,2.167,20,0%,19,6,-500%,1,034,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
P.A. Bolzano,425,252.206,2.779,520,43,2%,42,8,-1600%,1,019,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
P.A. Trento,489,199.973,3.371,622,85,3%,84,15,240%,1,018,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Piemonte,1.929,1.411.673,33.818,791,395,1%,387,9,-580%,8,019,-1110%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Puglia,2.456,1.434.632,35.601,905,383,1%,365,9,-590%,18,046,1250%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Sardegna,1.123,431.281,17.636,1.109,143,1%,132,8,-360%,11,069,1000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Sicilia,2.772,1.597.976,109.311,2.261,683,1%,649,13,-340%,34,070,630%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Toscana,1.800,1.362.889,84.758,2.295,444,1%,425,12,-070%,19,051,-500%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Umbria,573,360.578,5.372,621,181,3%,179,21,-380%,2,023,10000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Valle d'Aosta,88,43.013,845,681,9,1%,9,7,-2500%,0,000,000%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Veneto,4.939,2.160.530,55.353,1.137,558,1%,536,11,330%,22,045,-430%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
Italia,36.265,21.554.626,834.760,1.409,7.627,1%,7.339,12,-270%,288,049,-370%,Dati della Protezione Civile del 17 Agosto 2022 ore 17:14
