Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,316,1382,9,181,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Basilicata,110,385,3,79,14,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Calabria,256,1009,14,194,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Campania,700,3992,39,567,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Emilia-Romagna,1330,9001,34,889,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Friuli Venezia Giulia,171,1277,9,175,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Lazio,1115,6421,60,943,243,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Liguria,271,1643,15,218,12,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Lombardia,1179,10457,37,1810,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Marche,161,1006,4,232,52,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Molise,29,176,2,39,26,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
P.A. Bolzano,41,500,0,100,20,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
P.A. Trento,69,517,2,90,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Piemonte,735,6794,17,628,99,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Puglia,521,2903,25,503,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Sardegna,275,1602,9,204,16,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Sicilia,755,3708,42,817,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Toscana,542,5033,25,570,10,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Umbria,216,662,6,86,41,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Valle d'Aosta,27,163,0,34,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Veneto,565,6000,17,1000,0,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
Italia,9384,64631,369,9359,533,Dati della Protezione Civile del 05 Maggio 2022 ore 23:45
