Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,44,1369,1,185,23,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Basilicata,33,449,0,88,13,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Calabria,89,906,11,156,25,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Campania,287,4045,23,577,79,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Emilia-Romagna,223,6538,38,760,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Friuli Venezia Giulia,6,1277,1,175,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Lazio,300,6421,77,943,193,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Liguria,34,1723,8,212,12,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Lombardia,408,7017,77,1416,114,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Marche,33,1061,6,211,57,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Molise,6,221,0,39,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
P.A. Bolzano,6,391,3,100,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
P.A. Trento,9,517,2,60,15,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Piemonte,220,5824,32,628,99,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Puglia,187,3433,17,549,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Sardegna,68,1602,5,216,33,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Sicilia,239,3202,26,684,196,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Toscana,134,5033,38,458,30,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Umbria,26,671,4,97,30,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Valle d'Aosta,4,81,0,30,6,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Veneto,88,6000,20,1000,0,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
Italia,2444,57781,389,8584,925,Dati della Protezione Civile del 20 Giugno 2021 ore 18:36
