Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,2.063,388.718,57.464,4.486,314,1%,304,24,-470%,10,078,1110%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Basilicata,597,132.249,29.342,5.383,97,0%,95,17,-780%,2,037,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Calabria,2.009,372.126,73.417,3.946,240,0%,232,12,090%,8,043,-1110%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Campania,6.416,1.651.286,155.705,2.768,704,0%,666,12,050%,38,068,560%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Emilia-Romagna,2.166,1.442.456,42.708,962,1.286,3%,1.248,28,-100%,38,086,860%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Friuli Venezia Giulia,1.051,370.133,23.499,1.956,169,1%,161,13,130%,8,067,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Lazio,4.864,1.520.813,146.933,2.564,974,1%,924,16,-170%,50,087,-570%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Liguria,1.455,436.867,13.436,885,270,2%,256,17,-150%,14,092,-1250%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Lombardia,9.481,2.819.610,144.380,1.446,1.122,1%,1.086,11,-070%,36,036,-530%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Marche,1.731,457.584,6.235,416,133,2%,129,9,-720%,4,027,-2000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Molise,273,62.658,9.801,3.330,26,0%,24,8,000%,2,068,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
P.A. Bolzano,551,213.959,3.434,642,45,1%,42,8,-1060%,3,056,-2500%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
P.A. Trento,426,164.000,3.011,555,73,2%,71,13,760%,2,037,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Piemonte,3.261,1.167.442,43.921,1.027,638,1%,619,14,-610%,19,044,-1360%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Puglia,4.114,1.096.731,92.802,2.359,547,1%,517,13,-170%,30,076,2000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Sardegna,1.797,292.079,25.164,1.583,282,1%,273,17,040%,9,057,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Sicilia,3.763,1.144.106,102.763,2.126,740,1%,706,15,-290%,34,070,-560%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Toscana,3.325,1.120.126,42.466,1.150,512,1%,490,13,-350%,22,060,480%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Umbria,861,275.722,10.187,1.177,212,2%,208,24,100%,4,046,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Valle d'Aosta,92,35.694,1.336,1.077,32,2%,31,25,1070%,1,081,000%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Veneto,5.719,1.708.259,54.968,1.129,521,1%,497,10,-160%,24,049,-770%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
Italia,56.015,16.872.618,1.082.972,1.828,8.937,1%,8.579,14,-180%,358,060,-140%,Dati della Protezione Civile del 10 Maggio 2022 ore 23:45
