Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,784,536.612,25.977,2.028,160,1%,154,12,-430%,6,047,-1430%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Basilicata,277,177.938,7.820,1.435,42,1%,40,7,-480%,2,037,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Calabria,1.159,533.888,67.756,3.642,196,0%,186,10,330%,10,054,2500%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Campania,2.043,2.175.745,112.415,1.999,330,0%,316,6,-420%,14,025,-670%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Emilia-Romagna,1.506,1.815.610,26.760,603,1.092,4%,1.061,24,-180%,31,070,1070%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Friuli Venezia Giulia,603,473.755,8.053,670,160,2%,155,13,-490%,5,042,2500%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Lazio,1.663,2.012.400,91.524,1.597,655,1%,615,11,050%,40,070,-480%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Liguria,600,558.195,7.673,505,254,3%,247,16,-680%,7,046,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Lombardia,2.973,3.462.011,43.036,431,708,2%,686,7,-410%,22,022,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Marche,751,602.119,6.470,432,85,1%,82,5,-350%,3,020,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Molise,148,86.880,4.491,1.526,19,0%,18,6,-530%,1,034,-5000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
P.A. Bolzano,188,254.472,2.127,398,29,1%,29,5,000%,0,000,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
P.A. Trento,293,202.803,3.158,582,72,2%,71,13,000%,1,018,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Piemonte,1.343,1.424.832,33.398,781,293,1%,287,7,-430%,6,014,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Puglia,1.318,1.449.163,21.263,541,270,1%,257,7,080%,13,033,-1330%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Sardegna,467,437.451,12.389,779,114,1%,104,7,-280%,10,063,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Sicilia,1.613,1.615.157,71.260,1.474,470,1%,443,9,-330%,27,056,-360%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Toscana,995,1.373.085,82.230,2.227,316,0%,310,8,-340%,6,016,-2500%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Umbria,341,364.334,4.125,477,163,4%,160,18,000%,3,035,5000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Valle d'Aosta,42,43.476,854,688,11,1%,10,8,000%,1,081,000%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Veneto,2.698,2.188.936,49.796,1.023,456,1%,437,9,-580%,19,039,-500%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
Italia,21.805,21.788.862,682.575,1.152,5.895,1%,5.668,10,-270%,227,038,-170%,Dati della Protezione Civile del 27 Agosto 2022 ore 22:00
