Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,3.788,480.916,48.802,3.810,297,1%,289,23,550%,8,062,6000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Basilicata,1.320,163.344,15.877,2.913,104,1%,104,19,950%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Calabria,4.205,468.370,69.810,3.752,346,0%,328,18,090%,18,097,2000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Campania,14.585,2.035.322,185.362,3.296,760,0%,726,13,-180%,34,060,-1050%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Emilia-Romagna,5.379,1.699.123,81.957,1.846,1.725,2%,1.679,38,510%,46,104,-1150%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Friuli Venezia Giulia,2.837,434.686,24.544,2.043,295,1%,288,24,-030%,7,058,1670%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Lazio,10.219,1.891.425,226.282,3.949,1.130,0%,1.059,18,150%,71,124,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Liguria,3.227,514.928,23.718,1.562,432,2%,420,28,070%,12,079,-770%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Lombardia,18.180,3.275.909,157.181,1.575,1.581,1%,1.543,15,030%,38,038,-500%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Marche,3.723,549.519,22.311,1.489,209,1%,202,13,150%,7,047,-2220%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Molise,375,78.555,5.314,1.806,20,0%,18,6,-1000%,2,068,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
P.A. Bolzano,1.488,240.470,8.215,1.536,106,1%,104,19,200%,2,037,-3330%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
P.A. Trento,1.133,187.681,8.062,1.487,99,1%,96,18,110%,3,055,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Piemonte,7.257,1.342.148,62.192,1.455,620,1%,604,14,190%,16,037,670%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Puglia,9.857,1.343.971,83.641,2.126,507,1%,490,12,-450%,17,043,630%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Sardegna,3.166,397.977,41.646,2.619,184,0%,174,11,-060%,10,063,-910%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Sicilia,8.676,1.498.339,161.134,3.334,1.079,1%,1.032,21,000%,47,097,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Toscana,6.448,1.300.230,94.749,2.566,790,1%,759,21,000%,31,084,-310%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Umbria,2.065,336.503,23.851,2.756,291,1%,284,33,-040%,7,081,-1250%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Valle d'Aosta,278,40.478,1.766,1.423,33,2%,32,26,320%,1,081,000%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Veneto,12.477,2.019.119,106.527,2.187,780,1%,744,15,250%,36,074,1610%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
Italia,120.683,20.299.013,1.452.941,2.453,11.388,1%,10.975,19,120%,413,070,-100%,Dati della Protezione Civile del 19 Luglio 2022 ore 23:45
