Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,1.006,269.056,64.603,5.043,314,0%,300,23,-380%,14,109,770%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Basilicata,543,85.782,19.536,3.584,91,0%,90,17,-430%,1,018,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Calabria,1.946,224.942,46.591,2.504,281,1%,264,14,-290%,17,091,-560%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Campania,3.866,1.224.994,124.884,2.220,682,1%,648,12,000%,34,060,-810%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Emilia-Romagna,2.056,1.196.601,29.295,660,1.235,4%,1.167,26,-220%,68,153,300%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Friuli Venezia Giulia,719,311.285,17.303,1.440,162,1%,150,12,-850%,12,100,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Lazio,3.934,1.093.942,114.148,1.992,1.218,1%,1.126,20,-370%,92,161,110%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Liguria,1.026,350.207,12.915,851,260,2%,244,16,-280%,16,105,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Lombardia,4.226,2.355.997,111.695,1.119,930,1%,849,9,-500%,81,081,-900%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Marche,1.533,334.264,16.543,1.104,191,1%,172,11,-060%,19,127,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Molise,327,40.423,5.573,1.894,29,1%,27,9,-360%,2,068,-3330%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
P.A. Bolzano,485,190.490,4.497,841,69,2%,67,13,810%,2,037,10000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
P.A. Trento,247,140.468,2.974,549,52,2%,49,9,650%,3,055,-2500%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Piemonte,1.719,987.276,42.500,994,729,2%,695,16,-570%,34,080,-560%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Puglia,3.811,753.242,74.265,1.888,588,1%,557,14,-260%,31,079,690%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Sardegna,1.301,182.135,24.964,1.570,344,1%,317,20,-310%,27,170,-690%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Sicilia,3.607,809.732,221.443,4.581,976,0%,911,19,-580%,65,134,-300%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Toscana,2.699,869.684,24.412,661,762,3%,714,19,-300%,48,130,210%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Umbria,987,189.031,9.766,1.128,141,1%,136,16,-420%,5,058,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Valle d'Aosta,59,31.631,1.296,1.044,16,1%,14,11,-670%,2,161,000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Veneto,3.866,1.349.041,49.628,1.019,513,1%,477,10,-360%,36,074,-1000%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
Italia,39.963,12.990.223,1.018.831,1.720,9.583,1%,8.974,15,-350%,609,103,-260%,Dati della Protezione Civile del 05 Marzo 2022 ore 23:10
