Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,670,408.820,17.529,1.368,175,1%,172,13,-340%,3,023,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Basilicata,247,138.734,16.139,2.961,44,0%,44,8,-830%,0,000,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Calabria,802,393.701,33.366,1.793,163,0%,156,8,-190%,7,038,1670%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Campania,2.616,1.723.148,122.369,2.176,317,0%,303,5,-470%,14,025,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Emilia-Romagna,1.274,1.495.765,15.749,355,706,4%,676,15,-510%,30,068,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Friuli Venezia Giulia,557,380.954,19.386,1.613,85,0%,84,7,-770%,1,008,-5000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Lazio,3.623,1.593.894,116.945,2.041,548,0%,516,9,080%,32,056,-300%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Liguria,745,452.571,4.873,321,147,3%,139,9,-480%,8,053,3330%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Lombardia,4.491,2.908.561,97.680,979,523,1%,493,5,160%,30,030,-320%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Marche,706,476.233,3.481,232,63,2%,61,4,-1030%,2,013,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Molise,82,66.434,3.141,1.067,11,0%,9,3,-1000%,2,068,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
P.A. Bolzano,123,219.107,1.381,258,39,3%,38,7,1520%,1,019,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
P.A. Trento,177,168.436,1.139,210,25,2%,24,4,-1110%,1,018,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Piemonte,1.609,1.204.217,25.248,591,254,1%,245,6,-860%,9,021,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Puglia,1.738,1.141.031,20.238,514,256,1%,241,6,-200%,15,038,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Sardegna,1.091,316.967,11.706,736,95,1%,88,6,-330%,7,044,-2220%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Sicilia,2.924,1.207.679,60.983,1.262,546,1%,519,11,060%,27,056,380%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Toscana,1.628,1.157.565,23.665,641,239,1%,220,6,-180%,19,051,560%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Umbria,476,288.873,6.792,785,103,2%,102,12,000%,1,012,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Valle d'Aosta,35,36.759,852,687,5,1%,5,4,2500%,0,000,000%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Veneto,2.468,1.763.687,26.315,540,217,1%,207,4,-370%,10,021,2500%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
Italia,28.082,17.543.136,628.977,1.062,4.561,1%,4.342,7,-250%,219,037,090%,Dati della Protezione Civile del 07 Giugno 2022 ore 23:45
