Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,15,75.407,990,77,23,2%,22,2,480%,1,008,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Basilicata,0,27.091,550,99,16,3%,16,3,2310%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Calabria,59,69.701,2.051,108,55,3%,50,3,000%,5,026,2500%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Campania,151,427.381,7.262,127,191,3%,181,3,340%,10,018,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Emilia-Romagna,219,388.963,2.856,64,156,5%,142,3,070%,14,031,770%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Friuli Venezia Giulia,6,107.263,249,21,9,4%,9,1,000%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Lazio,434,349.848,3.634,63,159,4%,130,2,920%,29,050,1150%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Liguria,38,103.920,375,25,20,5%,15,1,2500%,5,033,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Lombardia,208,846.106,7.581,76,168,2%,138,1,220%,30,030,-320%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Marche,25,104.337,1.501,99,15,1%,13,1,000%,2,013,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Molise,2,13.823,103,34,1,1%,1,0,000%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
P.A. Bolzano,2,73.506,174,33,9,5%,9,2,2860%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
P.A. Trento,4,45.962,146,27,2,1%,2,0,10000%,0,000,-10000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Piemonte,28,363.787,1.013,23,57,6%,54,1,1740%,3,007,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Puglia,47,254.243,1.776,45,76,4%,66,2,000%,10,025,1110%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Sardegna,95,58.571,1.886,117,61,3%,57,4,-500%,4,025,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Sicilia,300,235.796,5.381,110,176,3%,154,3,340%,22,045,480%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Toscana,191,246.167,2.213,60,90,4%,74,2,1210%,16,043,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Umbria,10,57.156,720,83,9,1%,8,1,1430%,1,011,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Valle d'Aosta,0,11.712,26,21,0,0%,0,0,000%,0,000,000%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Veneto,238,428.788,7.038,144,57,1%,47,1,440%,10,020,1110%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
Italia,2.072,4.289.528,47.525,80,1.350,3%,1.188,2,460%,162,027,380%,Dati della Protezione Civile del 19 Luglio 2021 ore 18:40
