Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,769,544.623,27.452,2.143,129,0%,125,10,-160%,4,031,000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Basilicata,184,180.475,6.840,1.255,31,0%,30,6,-320%,1,018,000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Calabria,689,544.934,50.860,2.734,168,0%,161,9,000%,7,038,4000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Campania,1.435,2.195.926,91.894,1.634,285,0%,273,5,110%,12,021,910%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Emilia-Romagna,1.464,1.832.191,16.118,363,772,5%,746,17,-340%,26,059,-1030%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Friuli Venezia Giulia,444,479.296,5.488,457,130,2%,126,10,-080%,4,033,3330%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Lazio,1.377,2.030.301,46.644,814,521,1%,483,8,020%,38,066,560%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Liguria,440,564.043,5.037,332,158,3%,156,10,-710%,2,013,10000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Lombardia,2.554,3.493.538,35.797,359,516,1%,501,5,-720%,15,015,-630%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Marche,536,608.989,4.946,330,71,1%,69,5,-1150%,2,013,-5000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Molise,106,88.293,4.359,1.481,10,0%,8,3,-1110%,2,068,-3330%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
P.A. Bolzano,245,256.556,1.763,330,26,1%,25,5,1360%,1,019,000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
P.A. Trento,291,205.885,2.232,412,42,2%,41,8,-890%,1,018,-5000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Piemonte,1.491,1.438.900,31.815,744,254,1%,248,6,-120%,6,014,-1430%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Puglia,810,1.460.401,12.426,316,186,1%,178,5,-270%,8,020,1430%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Sardegna,328,442.038,7.350,462,85,1%,81,5,130%,4,025,-2000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Sicilia,926,1.629.015,43.376,897,307,1%,280,6,-410%,27,056,800%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Toscana,925,1.382.823,79.710,2.158,203,0%,198,5,-620%,5,014,-1670%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Umbria,326,367.797,2.807,324,119,4%,116,13,-650%,3,035,20000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Valle d'Aosta,25,43.868,661,533,1,0%,1,1,-5000%,0,000,000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Veneto,2.185,2.214.720,37.856,777,321,1%,304,6,-620%,17,035,000%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
Italia,17.550,22.004.612,515.431,870,4.335,1%,4.150,7,-350%,185,031,050%,Dati della Protezione Civile del 08 Settembre 2022 ore 23:45
