Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,111,78.839,2.196,170,89,4%,76,6,410%,13,100,-710%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Basilicata,55,28.767,1.358,245,45,3%,45,8,710%,0,000,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Calabria,358,77.084,4.757,251,165,3%,150,8,490%,15,079,710%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Campania,564,444.689,9.635,169,372,4%,352,6,060%,20,035,-480%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Emilia-Romagna,686,410.293,15.747,353,449,3%,403,9,-400%,46,103,-980%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Friuli Venezia Giulia,114,110.581,1.163,96,51,4%,40,3,000%,11,091,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Lazio,447,373.700,16.119,280,528,3%,457,8,-640%,71,123,140%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Liguria,172,109.466,2.079,136,89,4%,77,5,270%,12,079,910%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Lombardia,540,868.384,11.948,119,373,3%,331,3,-060%,42,042,-450%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Marche,255,110.222,3.524,233,85,2%,69,5,000%,16,106,3330%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Molise,10,14.225,231,77,8,3%,8,3,000%,0,000,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
P.A. Bolzano,53,74.940,741,139,24,3%,19,4,1180%,5,094,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
P.A. Trento,47,47.406,465,85,24,5%,24,4,-1430%,0,000,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Piemonte,240,372.009,3.701,86,159,4%,146,3,140%,13,030,830%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Puglia,304,263.031,4.646,118,260,6%,238,6,130%,22,056,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Sardegna,187,71.294,7.988,496,260,3%,240,15,300%,20,124,-1670%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Sicilia,1.139,272.490,26.929,552,902,3%,798,16,260%,104,213,100%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Toscana,601,270.006,11.486,311,460,4%,413,11,300%,47,127,220%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Umbria,109,61.469,1.784,205,52,3%,45,5,-1180%,7,080,-1250%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Valle d'Aosta,4,12.009,122,98,2,2%,2,2,000%,0,000,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Veneto,864,453.388,12.809,263,225,2%,178,4,-330%,47,096,930%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
Italia,6.860,4.524.292,139.428,234,4.622,3%,4.111,7,-010%,511,086,000%,Dati della Protezione Civile del 28 Agosto 2021 ore 18:10
