Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,424,65.931,10.340,792,646,6%,577,44,-480%,69,528,000%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Basilicata,166,19.805,4.956,890,190,4%,178,32,-110%,12,215,-770%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Calabria,465,47.945,10.801,561,442,4%,406,21,-050%,36,187,590%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Campania,2.057,341.604,91.770,1.586,1.713,2%,1.558,27,-180%,155,268,-310%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Emilia-Romagna,1.830,339.440,73.249,1.640,3.670,5%,3.299,74,-110%,371,831,-260%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Friuli Venezia Giulia,513,98.723,14.304,1.181,715,5%,634,52,-280%,81,669,000%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Lazio,1.918,289.203,51.141,872,3.444,7%,3.068,52,080%,376,641,390%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Liguria,472,90.506,7.393,479,722,10%,650,42,030%,72,467,140%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Lombardia,3.941,743.908,96.656,957,7.560,8%,6.703,66,-180%,857,848,-030%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Marche,651,89.284,8.867,584,935,11%,793,52,-040%,142,935,-070%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Molise,55,12.361,834,276,73,9%,57,19,-950%,16,529,000%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
P.A. Bolzano,134,69.201,665,125,90,14%,72,14,-1530%,18,338,-530%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
P.A. Trento,114,41.485,2.734,504,240,9%,189,35,-640%,51,940,850%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Piemonte,1.942,313.806,34.369,792,4.242,12%,3.864,89,-060%,378,871,050%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Puglia,2.044,197.425,48.747,1.216,2.142,4%,1.879,47,130%,263,656,120%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Sardegna,473,46.327,15.031,922,279,2%,244,15,340%,35,215,290%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Sicilia,1.222,176.627,21.011,423,1.048,5%,898,18,020%,150,302,490%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Toscana,1.640,198.645,28.676,770,1.861,6%,1.587,43,020%,274,736,340%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Umbria,189,51.271,4.754,540,380,8%,326,37,-270%,54,613,-530%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Valle d'Aosta,115,9.465,998,795,66,7%,56,45,1430%,10,797,1110%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Veneto,1.567,386.038,37.999,774,1.950,5%,1.666,34,-070%,284,579,110%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
Italia,21.932,3.629.000,565.295,938,32.408,6%,28.704,48,-080%,3.704,615,060%,Dati della Protezione Civile del 02 Aprile 2021 ore 20:20
