FID,nomeTesto,versionID,datasetIni,datasetFin,legDataAbr,legSpecRif,legLink,legGU_Link,localID,namespace,ID_Evento,ID_EventoS,nomeLingua,nomeStatus,nomeOrigin,nomePronun,nomeFonte,nomeScript,tipoZona,tipoZonaSp,designIniz,designFine,dominioAmb,nomeAutCom,nomeAutRuo,legNome,legNomeBre,legData,legDataTip,legNumID,legDocUff,legDataApp,legLivello,legGU_ID,legGU_ISSN,legGU_ISBN
0,Calabria,01,06/11/2020,20/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
1,Campania,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,regionale,275 04/11/2020,unpopulated,unpopulated
2,Lazio,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,regionale,275 04/11/2020,unpopulated,unpopulated
3,Lombardia,01,06/11/2020,20/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
4,Molise,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,regionale,275 04/11/2020,unpopulated,unpopulated
5,Piemonte,01,06/11/2020,20/11/2020,unknown,art.3,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
6,Provincia autonoma Trento,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,provISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,provinciale,275 04/11/2020,unpopulated,unpopulated
7,Puglia,01,06/11/2020,20/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
8,Sardegna,01,06/11/2020,03/12/2020,unknown,art.1,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,03/12/2020,tutelaSalute,Presidente del Consiglio dei Ministri,authority,Ulteriori misure urgenti per fronteggiare l'emergenza epidemiologica da COVID-19,DPCM 03/11/2020,1604361600000,creation,unpopulated,unknown,1604620800000,regionale,275 04/11/2020,unpopulated,unpopulated
9,Sicilia,01,06/11/2020,20/11/2020,unknown,art.2,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg, ,IT.PCMDPC,1,COVID-19-Italia,ita,standardizzato,endonimo,unpopulated,regISTAT2020,ital,humanHealthRestrictedZone,areaMisureUrgentiContenimentoContagio,1604620800000,20/11/2020,tutelaSalute,Ministero della Salute,authority,Ulteriori misure urgenti in materia di contenimento e gestione emergenza epidemiologica COVID-19,Ordinanza 04/11/2020,1604448000000,creation,unpopulated,unknown,1604620800000,regionale,276 05/11/2020,unpopulated,unpopulated
