NUTS_code,datasetIniISO,versionID,nomeTesto,FID,datasetIni,datasetFin,designIniz,designFine,nomeAutCom,legNomeBre,legData,legLink,legSpecRif,legLivello,legGU_Link,zona,datasetFinISO,NUTS_level
ITF6,2020-11-06,1,Calabria,3,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=4,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,rossa,2020-11-20,2
ITF3,2020-11-06,1,Campania,16,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITI4,2020-11-06,1,Lazio,13,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITC4,2020-11-06,1,Lombardia,2,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=4,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,rossa,2020-11-20,2
ITF2,2020-11-06,1,Molise,15,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITC1,2020-11-06,1,Piemonte,0,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=4,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,rossa,2020-11-20,2
ITH2,2020-11-06,1,Provincia autonoma Trento,20,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,provinciale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITF4,2020-11-06,1,Puglia,4,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,arancione,2020-11-20,2
ITG2,2020-11-06,1,Sardegna,18,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITG1,2020-11-06,1,Sicilia,5,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,arancione,2020-11-20,2
ITC2,2020-11-06,1,Valle d'Aosta,1,06/11/2020,20/11/2020,1604620800000,20/11/2020,Ministero della Salute,Ordinanza 04/11/2020,1604448000000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77054&articolo=4,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/05/20A06144/sg,rossa,2020-11-20,2
ITH3,2020-11-06,1,Veneto,6,06/11/2020,03/12/2020,1604620800000,03/12/2020,Presidente del Consiglio dei Ministri,DPCM 03/11/2020,1604361600000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=76993,art.1,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/04/20A06109/sg,gialla,2020-12-03,2
ITF1,2020-11-10,2,Abruzzo,14,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,arancione,2020-11-24,2
ITF5,2020-11-10,2,Basilicata,17,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,arancione,2020-11-24,2
ITC3,2020-11-10,2,Liguria,8,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,arancione,2020-11-24,2
ITH1,2020-11-10,2,Provincia autonoma Bolzano,19,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=4,art.3,provinciale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,rossa,2020-11-24,2
ITI1,2020-11-10,2,Toscana,10,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,arancione,2020-11-24,2
ITI2,2020-11-10,2,Umbria,11,10/11/2020,24/11/2020,1604966400000,24/11/2020,Ministero della Salute,Ordinanza 10/11/2020,1604966400000,https://www.trovanorme.salute.gov.it/norme/dettaglioAtto?id=77109&articolo=3,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/10/20A06211/sg,arancione,2020-11-24,2
ITF3,2020-11-15,6,Campania,43,15/11/2020,03/12/2020,1605398400000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_1_file.pdf,art.3,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg,rossa,2020-12-03,2
ITH5,2020-11-15,6,Emilia-Romagna,40,15/11/2020,03/12/2020,1605398400000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_1_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg,arancione,2020-12-03,2
ITH4,2020-11-15,6,Friuli Venezia Giulia,39,15/11/2020,03/12/2020,1605398400000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_1_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg,arancione,2020-12-03,2
ITI3,2020-11-15,6,Marche,41,15/11/2020,03/12/2020,1605398400000,03/12/2020,Ministero della Salute,Ordinanza 27/11/2020,1606435200000,http://www.salute.gov.it/imgs/C_17_notizie_5197_1_file.pdf,art.2,regionale,https://www.gazzettaufficiale.it/eli/id/2020/11/28/20A06657/sg,arancione,2020-12-03,2
