codINT,codBDAP,AREA,REGIONE,ENTE,POP,Quota a),Quota b),Contributo spettante
1020040410,515942930475211801,NORD-RSS,VALLE D'AOSTA,LILLIANES,447,2369.8,502.35,2872.14
1020040420,288042930543246201,NORD-RSS,VALLE D'AOSTA,MONTJOVET,1756,9309.55,,9309.55
1020040430,517042930456397402,NORD-RSS,VALLE D'AOSTA,MORGEX,2112,11196.9,,11196.9
1020040440,786642929800291402,NORD-RSS,VALLE D'AOSTA,NUS,2964,15713.84,352.51,16066.35
1020040450,961242930455161301,NORD-RSS,VALLE D'AOSTA,OLLOMONT,162,858.85,,858.85
1020040460,587742930472337201,NORD-RSS,VALLE D'AOSTA,OYACE,207,1097.42,204.5,1301.92
1020040470,971542930543396901,NORD-RSS,VALLE D'AOSTA,PERLOZ,467,2475.83,575.28,3051.12
1020040480,359542930546652401,NORD-RSS,VALLE D'AOSTA,POLLEIN,1539,8159.11,,8159.11
1020040490,704942930550367501,NORD-RSS,VALLE D'AOSTA,PONTBOSET,179,948.98,177.26,1126.24
1020040500,263242930458255702,NORD-RSS,VALLE D'AOSTA,PONTEY,805,4267.76,189.27,4457.02
1020040510,981542930534375901,NORD-RSS,VALLE D'AOSTA,PONT-SAINT-MARTIN,3683,19525.66,124.9,19650.56
1020040520,191342930457253501,NORD-RSS,VALLE D'AOSTA,PRÉ-SAINT-DIDIER,1015,5381.09,,5381.09
1020040530,899542930529210902,NORD-RSS,VALLE D'AOSTA,QUART,4093,21699.3,,21699.3
1020040540,252742930449925801,NORD-RSS,VALLE D'AOSTA,RHÊMES-NOTRE-DAME,79,600,,600
1020040550,469742930524778402,NORD-RSS,VALLE D'AOSTA,RHÊMES-SAINT-GEORGES,172,911.87,,911.87
1020040560,835342930524987902,NORD-RSS,VALLE D'AOSTA,ROISAN,1008,5343.98,,5343.98
1020040570,908142930480102102,NORD-RSS,VALLE D'AOSTA,SAINT-CHRISTOPHE,3499,18550.17,,18550.17
1020040580,881942930458473002,NORD-RSS,VALLE D'AOSTA,SAINT-DENIS,375,1988.09,160.96,2149.04
1020040590,869942930529109802,NORD-RSS,VALLE D'AOSTA,SAINT-MARCEL,1344,7125.3,224.3,7349.6
1020040600,997642930458651301,NORD-RSS,VALLE D'AOSTA,SAINT-NICOLAS,317,1680.6,213.99,1894.58
1020040610,829742930529086402,NORD-RSS,VALLE D'AOSTA,SAINT-OYEN,194,1028.5,,1028.5
1020040620,407342930458624101,NORD-RSS,VALLE D'AOSTA,SAINT-PIERRE,3201,16970.31,,16970.31
1020040630,258842930524132401,NORD-RSS,VALLE D'AOSTA,SAINT-RHÉMY-EN-BOSSES,318,1685.9,,1685.9
1020040640,371342930447099902,NORD-RSS,VALLE D'AOSTA,SAINT-VINCENT,4582,24291.77,,24291.77
1020040650,833742930547538101,NORD-RSS,VALLE D'AOSTA,SARRE,4848,25701.98,,25701.98
1020040660,633042930524124402,NORD-RSS,VALLE D'AOSTA,TORGNON,569,3016.59,,3016.59
1020040670,504942930451255101,NORD-RSS,VALLE D'AOSTA,VALGRISENCHE,190,1007.3,,1007.3
1020040680,523242930549913201,NORD-RSS,VALLE D'AOSTA,VALPELLINE,598,3170.34,,3170.34
1020040690,333542930452004602,NORD-RSS,VALLE D'AOSTA,VALSAVARENCHE,169,895.96,,895.96
1020040700,766242930524092001,NORD-RSS,VALLE D'AOSTA,VALTOURNENCHE,2291,12145.88,,12145.88
1020040710,167242930550454301,NORD-RSS,VALLE D'AOSTA,VERRAYES,1286,6817.81,817.84,7635.65
1020040720,438542930008180002,NORD-RSS,VALLE D'AOSTA,VERRÈS,2633,13959.02,1044.62,15003.64
1020040730,476942930540885102,NORD-RSS,VALLE D'AOSTA,VILLENEUVE,1285,6812.51,355.72,7168.23
2040140001,993042930464585401,NORD-RSS,TRENTINO ALTO ADIGE,ANDRIANO,1030,5460.61,,5460.61
2040140002,111242928159168602,NORD-RSS,TRENTINO ALTO ADIGE,ALDINO,1656,8779.39,,8779.39
2040140010,485742930509804102,NORD-RSS,TRENTINO ALTO ADIGE,ANTERIVO,398,2110.02,,2110.02
2040140020,476942930460860902,NORD-RSS,TRENTINO ALTO ADIGE,APPIANO SULLA STRADA DEL VINO,14934,79173.56,,79173.56
2040140021,534442928293182001,NORD-RSS,TRENTINO ALTO ADIGE,AVELENGO,778,4124.62,,4124.62
2040140030,882042930460138902,NORD-RSS,TRENTINO ALTO ADIGE,BADIA,3505,18581.98,,18581.98
2040140040,589642930522282001,NORD-RSS,TRENTINO ALTO ADIGE,BARBIANO,1755,9304.24,,9304.24
2040140050,817442930531891001,NORD-RSS,TRENTINO ALTO ADIGE,BOLZANO,107739,568902.15,,568902.15
2040140060,526742927905068101,NORD-RSS,TRENTINO ALTO ADIGE,BRAIES,655,3472.52,,3472.52
2040140070,183542930509064901,NORD-RSS,TRENTINO ALTO ADIGE,BRENNERO,2232,11833.09,,11833.09
2040140080,426242930508104501,NORD-RSS,TRENTINO ALTO ADIGE,BRESSANONE,22377,118633.1,,118633.1
2040140090,653042927963768501,NORD-RSS,TRENTINO ALTO ADIGE,BRONZOLO,2808,14886.79,,14886.79
2040140100,803342930510992002,NORD-RSS,TRENTINO ALTO ADIGE,BRUNICO,16716,88620.94,,88620.94
2040140110,602642930517270801,NORD-RSS,TRENTINO ALTO ADIGE,CAINES,395,2094.12,,2094.12
2040140120,587142930461747102,NORD-RSS,TRENTINO ALTO ADIGE,CALDARO SULLA STRADA DEL VINO,8104,42963.88,,42963.88
2040140130,472442929189265702,NORD-RSS,TRENTINO ALTO ADIGE,CAMPO DI TRENS,2656,14080.95,,14080.95
2040140140,197342930462733702,NORD-RSS,TRENTINO ALTO ADIGE,CAMPO TURES,5496,29137.4,,29137.4
2040140150,782742930518665902,NORD-RSS,TRENTINO ALTO ADIGE,CASTELBELLO-CIARDES,2298,12182.99,,12182.99
2040140160,757542930529923202,NORD-RSS,TRENTINO ALTO ADIGE,CASTELROTTO,6855,36342.22,,36342.22
2040140170,739942930509665302,NORD-RSS,TRENTINO ALTO ADIGE,CERMES,1527,8095.49,,8095.49
2040140180,563942929879951101,NORD-RSS,TRENTINO ALTO ADIGE,CHIENES,2887,15305.62,,15305.62
2040140190,745842930461008802,NORD-RSS,TRENTINO ALTO ADIGE,CHIUSA,5215,27647.66,,27647.66
2040140200,815042930508138902,NORD-RSS,TRENTINO ALTO ADIGE,CORNEDO ALL'ISARCO,3430,18184.36,,18184.36
2040140210,539342930534180401,NORD-RSS,TRENTINO ALTO ADIGE,CORTACCIA SULLA STRADA DEL VINO,2239,11870.2,,11870.2
2040140220,792042929389319801,NORD-RSS,TRENTINO ALTO ADIGE,CORTINA SULLA STRADA DEL VINO,665,3525.54,,3525.54
2040140230,489342930137664202,NORD-RSS,TRENTINO ALTO ADIGE,CORVARA IN BADIA,1378,7305.56,,7305.56
2040140240,932542928932360901,NORD-RSS,TRENTINO ALTO ADIGE,CURON VENOSTA,2389,12665.44,1314.58,13980.02
2040140250,142942930526801701,NORD-RSS,TRENTINO ALTO ADIGE,DOBBIACO,3351,17765.54,,17765.54
2040140260,596342928865348301,NORD-RSS,TRENTINO ALTO ADIGE,EGNA,5384,28543.62,,28543.62
2040140270,776142929439514102,NORD-RSS,TRENTINO ALTO ADIGE,FALZES,2823,14966.32,,14966.32
2040140280,713842930546729101,NORD-RSS,TRENTINO ALTO ADIGE,FIÈ ALLO SCILIAR,3579,18974.3,,18974.3
2040140290,297142930544064501,NORD-RSS,TRENTINO ALTO ADIGE,FORTEZZA,1000,5301.56,155.82,5457.38
2040140300,511242930527800702,NORD-RSS,TRENTINO ALTO ADIGE,FUNES,2629,13937.81,,13937.81
2040140310,704542930546364601,NORD-RSS,TRENTINO ALTO ADIGE,GAIS,3311,17553.48,,17553.48
2040140320,266042930541519002,NORD-RSS,TRENTINO ALTO ADIGE,GARGAZZONE,1726,9150.5,,9150.5
2040140330,407042930516282502,NORD-RSS,TRENTINO ALTO ADIGE,GLORENZA,900,4771.41,,4771.41
2040140340,231242930518258301,NORD-RSS,TRENTINO ALTO ADIGE,LACES,5214,27642.36,,27642.36
2040140350,977742930517508802,NORD-RSS,TRENTINO ALTO ADIGE,LAGUNDO,5005,26534.33,,26534.33
2040140360,425142930476491301,NORD-RSS,TRENTINO ALTO ADIGE,LAION,2715,14393.75,,14393.75
2040140370,772842930545597801,NORD-RSS,TRENTINO ALTO ADIGE,LAIVES,18073,95815.17,,95815.17
2040140380,349842930526868801,NORD-RSS,TRENTINO ALTO ADIGE,LANA,12511,66327.87,,66327.87
2040140390,488742930458242901,NORD-RSS,TRENTINO ALTO ADIGE,LASA,4045,21444.83,984.4,22429.23
2040140400,389942930454321801,NORD-RSS,TRENTINO ALTO ADIGE,LAUREGNO,342,1813.13,363.28,2176.42
2040140401,974942930543725101,NORD-RSS,TRENTINO ALTO ADIGE,LA VALLE,1389,7363.87,,7363.87
2040140410,596142930546348202,NORD-RSS,TRENTINO ALTO ADIGE,LUSON,1574,8344.66,,8344.66
2040140420,924142930176829802,NORD-RSS,TRENTINO ALTO ADIGE,MAGRÈ SULLA STRADA DEL VINO,1274,6754.19,,6754.19
2040140430,241442930528886802,NORD-RSS,TRENTINO ALTO ADIGE,MALLES VENOSTA,5272,27949.85,3119.61,31069.45
2040140440,946142930477236001,NORD-RSS,TRENTINO ALTO ADIGE,MAREBBE,3081,16334.12,,16334.12
2040140450,695042930476106001,NORD-RSS,TRENTINO ALTO ADIGE,MARLENGO,2791,14796.67,,14796.67
2040140460,694342930515665501,NORD-RSS,TRENTINO ALTO ADIGE,MARTELLO,841,4458.62,508.68,4967.3
2040140470,607042929816234301,NORD-RSS,TRENTINO ALTO ADIGE,MELTINA,1692,8970.25,,8970.25
2040140480,299242930449084201,NORD-RSS,TRENTINO ALTO ADIGE,MERANO,40862,216632.51,,216632.51
2040140490,642642930474766001,NORD-RSS,TRENTINO ALTO ADIGE,MONGUELFO-TESIDO,2914,15448.76,,15448.76
2040140500,446642930527472202,NORD-RSS,TRENTINO ALTO ADIGE,MONTAGNA,1701,9017.96,,9017.96
2040140510,986642930473913701,NORD-RSS,TRENTINO ALTO ADIGE,MOSO IN PASSIRIA,2086,11059.06,3257.07,14316.14
2040140520,172442930532392601,NORD-RSS,TRENTINO ALTO ADIGE,NALLES,2017,10693.25,,10693.25
2040140530,763942930527556701,NORD-RSS,TRENTINO ALTO ADIGE,NATURNO,5869,31114.88,,31114.88
2040140540,119442930526684402,NORD-RSS,TRENTINO ALTO ADIGE,NAZ-SCIAVES,3230,17124.05,,17124.05
2040140550,548342930527872802,NORD-RSS,TRENTINO ALTO ADIGE,NOVA LEVANTE,1973,10459.99,,10459.99
2040140560,422342930528770702,NORD-RSS,TRENTINO ALTO ADIGE,NOVA PONENTE,3937,20872.26,,20872.26
2040140570,472842930533150401,NORD-RSS,TRENTINO ALTO ADIGE,ORA,3825,20278.48,,20278.48
2040140580,533442929501754601,NORD-RSS,TRENTINO ALTO ADIGE,ORTISEI,4869,25813.32,,25813.32
2040140590,424842930531682102,NORD-RSS,TRENTINO ALTO ADIGE,PARCINES,3783,20055.82,,20055.82
2040140600,839542930526547302,NORD-RSS,TRENTINO ALTO ADIGE,PERCA,1565,8296.95,,8296.95
2040140610,904142929735970401,NORD-RSS,TRENTINO ALTO ADIGE,PLAUS,724,3838.33,,3838.33
2040140620,625742930470569001,NORD-RSS,TRENTINO ALTO ADIGE,PONTE GARDENA,195,1033.8,,1033.8
2040140630,402742930528567501,NORD-RSS,TRENTINO ALTO ADIGE,POSTAL,1872,9924.53,,9924.53
2040140640,665942930543219101,NORD-RSS,TRENTINO ALTO ADIGE,PRATO ALLO STELVIO,3624,19212.87,,19212.87
2040140641,239542930541650302,NORD-RSS,TRENTINO ALTO ADIGE,PREDOI,546,2894.65,,2894.65
2040140650,678142930479964501,NORD-RSS,TRENTINO ALTO ADIGE,PROVES,265,1404.91,29.88,1434.79
2040140660,348542930458368601,NORD-RSS,TRENTINO ALTO ADIGE,RACINES,4497,23841.13,,23841.13
2040140661,486942930462033301,NORD-RSS,TRENTINO ALTO ADIGE,RASUN-ANTERSELVA,2917,15464.66,,15464.66
2040140680,728842930549897002,NORD-RSS,TRENTINO ALTO ADIGE,RENON,7955,42173.94,,42173.94
2040140690,601142930530304601,NORD-RSS,TRENTINO ALTO ADIGE,RIFIANO,1362,7220.73,,7220.73
2040140700,258542930528680001,NORD-RSS,TRENTINO ALTO ADIGE,RIO DI PUSTERIA,3151,16705.23,,16705.23
2040140701,594142930457190501,NORD-RSS,TRENTINO ALTO ADIGE,RODENGO,1240,6573.94,,6573.94
2040140710,635942930457087702,NORD-RSS,TRENTINO ALTO ADIGE,SALORNO,3827,20289.09,1599.89,21888.98
2040140720,905242930463572302,NORD-RSS,TRENTINO ALTO ADIGE,SAN CANDIDO,3367,17850.37,,17850.37
2040140740,146842930530364101,NORD-RSS,TRENTINO ALTO ADIGE,SAN GENESIO ATESINO,3066,16254.6,,16254.6
2040140750,765942930479079402,NORD-RSS,TRENTINO ALTO ADIGE,SAN LEONARDO IN PASSIRIA,3558,18862.96,380.78,19243.74
2040140760,199042930548544802,NORD-RSS,TRENTINO ALTO ADIGE,SAN LORENZO DI SEBATO,3885,20596.58,,20596.58
2040140770,682042930525009502,NORD-RSS,TRENTINO ALTO ADIGE,SAN MARTINO IN BADIA,1767,9367.86,,9367.86
2040140771,282442930450635301,NORD-RSS,TRENTINO ALTO ADIGE,SAN MARTINO IN PASSIRIA,3255,17256.59,1241.09,18497.68
2040140772,425942930525262001,NORD-RSS,TRENTINO ALTO ADIGE,SAN PANCRAZIO,1544,8185.61,,8185.61
2040140780,915542930529604401,NORD-RSS,TRENTINO ALTO ADIGE,SANTA CRISTINA VALGARDENA,1974,10465.29,,10465.29
2040140790,434542930478188502,NORD-RSS,TRENTINO ALTO ADIGE,SARENTINO,7145,37879.68,,37879.68
2040140800,936942930523966801,NORD-RSS,TRENTINO ALTO ADIGE,SCENA,2912,15438.15,,15438.15
2040140820,235642930469364202,NORD-RSS,TRENTINO ALTO ADIGE,SELVA DEI MOLINI,1432,7591.84,116.58,7708.42
2040140821,288242930469467601,NORD-RSS,TRENTINO ALTO ADIGE,SELVA DI VAL GARDENA,2629,13937.81,,13937.81
2040140840,762242930536443802,NORD-RSS,TRENTINO ALTO ADIGE,SENALES,1228,6510.32,,6510.32
2040140841,591842930466935302,NORD-RSS,TRENTINO ALTO ADIGE,SENALE-SAN FELICE,762,4039.79,646.03,4685.82
2040140850,904042930548901001,NORD-RSS,TRENTINO ALTO ADIGE,SESTO,1880,9966.94,,9966.94
2040140860,991242930479098802,NORD-RSS,TRENTINO ALTO ADIGE,SILANDRO,6215,32949.22,,32949.22
2040140870,225542930526813002,NORD-RSS,TRENTINO ALTO ADIGE,SLUDERNO,1838,9744.27,1232.55,10976.83
2040140871,143942930476759202,NORD-RSS,TRENTINO ALTO ADIGE,STELVIO,1141,6049.08,,6049.08
2040140880,452342930452739702,NORD-RSS,TRENTINO ALTO ADIGE,TERENTO,1766,9362.56,,9362.56
2040140890,199642930454548302,NORD-RSS,TRENTINO ALTO ADIGE,TERLANO,4473,23713.9,,23713.9
2040140900,376842930454741401,NORD-RSS,TRENTINO ALTO ADIGE,TERMENO SULLA STRADA DEL VINO,3431,18189.67,,18189.67
2040140910,774942930528725202,NORD-RSS,TRENTINO ALTO ADIGE,TESIMO,1965,10417.57,,10417.57
2040140920,943642930479213902,NORD-RSS,TRENTINO ALTO ADIGE,TIRES,1007,5338.68,,5338.68
2040140930,349342930462812102,NORD-RSS,TRENTINO ALTO ADIGE,TIROLO,2450,12988.83,,12988.83
2040140940,189942930526846502,NORD-RSS,TRENTINO ALTO ADIGE,TRODENA NEL PARCO NATURALE,1040,5513.63,,5513.63
2040140950,668942930527960502,NORD-RSS,TRENTINO ALTO ADIGE,TUBRE,969,5137.22,2960.1,8097.32
2040140960,891242930480126701,NORD-RSS,TRENTINO ALTO ADIGE,ULTIMO,2896,15353.33,240.72,15594.05
2040140970,627942930468002802,NORD-RSS,TRENTINO ALTO ADIGE,VADENA,1057,5603.75,,5603.75
2040140981,308842930547509501,NORD-RSS,TRENTINO ALTO ADIGE,VALDAORA,3205,16991.51,,16991.51
2040140990,543842930470748101,NORD-RSS,TRENTINO ALTO ADIGE,VAL DI VIZZE,3093,16397.74,,16397.74
2040141000,155942930525766602,NORD-RSS,TRENTINO ALTO ADIGE,VALLE AURINA,6022,31926.02,,31926.02
2040141010,284342930542910402,NORD-RSS,TRENTINO ALTO ADIGE,VALLE DI CASIES,2320,12299.63,357.61,12657.24
2040141020,721642930525564601,NORD-RSS,TRENTINO ALTO ADIGE,VANDOIES,3339,17701.92,,17701.92
2040141030,324742930529490902,NORD-RSS,TRENTINO ALTO ADIGE,VARNA,4694,24885.54,,24885.54
2040141031,723342930548142402,NORD-RSS,TRENTINO ALTO ADIGE,VELTURNO,2998,15894.09,,15894.09
2040141040,953142930462837201,NORD-RSS,TRENTINO ALTO ADIGE,VERANO,959,5084.2,148.22,5232.42
2040141050,983542930453502302,NORD-RSS,TRENTINO ALTO ADIGE,VILLABASSA,1597,8466.6,,8466.6
2040141060,331542930458358102,NORD-RSS,TRENTINO ALTO ADIGE,VILLANDRO,1875,9940.43,,9940.43
2040141070,244742930529662601,NORD-RSS,TRENTINO ALTO ADIGE,VIPITENO,6979,36999.62,,36999.62
2040830010,814842930510356101,NORD-RSS,TRENTINO ALTO ADIGE,ALA,8824,46781,4096.71,50877.71
2040830020,533042928257856601,NORD-RSS,TRENTINO ALTO ADIGE,ALBIANO,1481,7851.62,798.73,8650.35
2040830030,707242930509951101,NORD-RSS,TRENTINO ALTO ADIGE,ALDENO,3168,16795.35,,16795.35
2040830034,431645468444272601,NORD-RSS,TRENTINO ALTO ADIGE,ALTAVALLE,1615,8562.03,2355.16,10917.18
2040830037,967345468425484301,NORD-RSS,TRENTINO ALTO ADIGE,ALTOPIANO DELLA VIGOLANA,5065,26852.42,,26852.42
2040830042,751145399957290901,NORD-RSS,TRENTINO ALTO ADIGE,AMBLAR-DON,527,2793.92,,2793.92
2040830050,206142930464701102,NORD-RSS,TRENTINO ALTO ADIGE,ANDALO,1099,5826.42,,5826.42
2040830060,486442930534310301,NORD-RSS,TRENTINO ALTO ADIGE,ARCO,17828,94516.28,,94516.28
2040830070,744142930521176202,NORD-RSS,TRENTINO ALTO ADIGE,AVIO,4082,21640.98,1506.27,23147.26
2040830100,867142930510401702,NORD-RSS,TRENTINO ALTO ADIGE,BASELGA DI PINÈ,5045,26746.39,,26746.39
2040830110,791942930464434002,NORD-RSS,TRENTINO ALTO ADIGE,BEDOLLO,1481,7851.62,253.21,8104.83
2040830130,352842930534654102,NORD-RSS,TRENTINO ALTO ADIGE,BESENELLO,2651,14054.45,,14054.45
2040830150,999942930461543701,NORD-RSS,TRENTINO ALTO ADIGE,BIENO,434,2300.88,455.69,2756.57
2040830170,441642930543933102,NORD-RSS,TRENTINO ALTO ADIGE,BLEGGIO SUPERIORE,1540,8164.41,898.35,9062.76
2040830180,255342929021009101,NORD-RSS,TRENTINO ALTO ADIGE,BOCENAGO,397,2104.72,,2104.72
2040830201,749342928043475002,NORD-RSS,TRENTINO ALTO ADIGE,BONDONE,667,3536.14,768.53,4304.68
2040830204,995545466897190001,NORD-RSS,TRENTINO ALTO ADIGE,BORGO CHIESE,2015,10682.65,225.88,10908.53
2040830205,197057806247391902,NORD-RSS,TRENTINO ALTO ADIGE,BORGO D'ANAUNIA,2490,13200.89,834.53,14035.43
2040830207,167845466831642801,NORD-RSS,TRENTINO ALTO ADIGE,BORGO LARES,709,3758.81,,3758.81
2040830210,965442929269076802,NORD-RSS,TRENTINO ALTO ADIGE,BORGO VALSUGANA,6953,36861.77,,36861.77
2040830240,259342927979570502,NORD-RSS,TRENTINO ALTO ADIGE,BRENTONICO,4002,21216.86,1569.04,22785.9
2040830250,554542928683902002,NORD-RSS,TRENTINO ALTO ADIGE,BRESIMO,253,1341.3,122.79,1464.09
2040830280,277542930531233702,NORD-RSS,TRENTINO ALTO ADIGE,CADERZONE TERME,678,3594.46,,3594.46
2040830300,675242928055989402,NORD-RSS,TRENTINO ALTO ADIGE,CALCERANICA AL LAGO,1358,7199.52,,7199.52
2040830310,272842930531914801,NORD-RSS,TRENTINO ALTO ADIGE,CALDES,1100,5831.72,439.45,6271.17
2040830320,815142930464010802,NORD-RSS,TRENTINO ALTO ADIGE,CALDONAZZO,3778,20029.31,,20029.31
2040830330,979542928748781302,NORD-RSS,TRENTINO ALTO ADIGE,CALLIANO,1946,10316.84,619.19,10936.04
2040830331,883042930464210701,NORD-RSS,TRENTINO ALTO ADIGE,CAMPITELLO DI FASSA,713,3780.02,,3780.02
2040830340,677242930517222601,NORD-RSS,TRENTINO ALTO ADIGE,CAMPODENNO,1475,7819.81,1396.18,9215.99
2040830350,349542930463037902,NORD-RSS,TRENTINO ALTO ADIGE,CANAL SAN BOVO,1468,7782.7,643.83,8426.52
2040830360,424942930522432801,NORD-RSS,TRENTINO ALTO ADIGE,CANAZEI,1887,10004.05,,10004.05
2040830370,201842927928402701,NORD-RSS,TRENTINO ALTO ADIGE,CAPRIANA,583,3090.81,149.28,3240.09
2040830390,269542930465015202,NORD-RSS,TRENTINO ALTO ADIGE,CARISOLO,948,5025.88,,5025.88
2040830400,405642929034787301,NORD-RSS,TRENTINO ALTO ADIGE,CARZANO,527,2793.92,383.47,3177.39
2040830430,121342930532867601,NORD-RSS,TRENTINO ALTO ADIGE,CASTEL CONDINO,219,1161.04,,1161.04
2040830435,514745466481320801,NORD-RSS,TRENTINO ALTO ADIGE,CASTEL IVANO,3306,17526.97,236.55,17763.52
2040830440,311842930517670502,NORD-RSS,TRENTINO ALTO ADIGE,CASTELLO-MOLINA DI FIEMME,2325,12326.14,,12326.14
2040830450,566242930517841701,NORD-RSS,TRENTINO ALTO ADIGE,CASTELLO TESINO,1187,6292.96,,6292.96
2040830460,419442930510332601,NORD-RSS,TRENTINO ALTO ADIGE,CASTELNUOVO,1036,5492.42,285.77,5778.19
2040830470,682842928064987401,NORD-RSS,TRENTINO ALTO ADIGE,CAVALESE,4112,21800.03,,21800.03
2040830480,877942930509116701,NORD-RSS,TRENTINO ALTO ADIGE,CAVARENO,1086,5757.5,,5757.5
2040830490,485342930532723502,NORD-RSS,TRENTINO ALTO ADIGE,CAVEDAGO,549,2910.56,,2910.56
2040830500,495442930462856202,NORD-RSS,TRENTINO ALTO ADIGE,CAVEDINE,2947,15623.71,,15623.71
2040830501,882742928832350602,NORD-RSS,TRENTINO ALTO ADIGE,CAVIZZANA,238,1261.77,68.16,1329.94
2040830515,795445466935990601,NORD-RSS,TRENTINO ALTO ADIGE,CEMBRA LISIGNAGO,2333,12368.55,3415.19,15783.74
2040830540,465142930459723502,NORD-RSS,TRENTINO ALTO ADIGE,CIMONE,694,3679.29,,3679.29
2040830550,151342930508974301,NORD-RSS,TRENTINO ALTO ADIGE,CINTE TESINO,350,1855.55,,1855.55
2040830560,455142930517384102,NORD-RSS,TRENTINO ALTO ADIGE,CIS,304,1611.68,,1611.68
