Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI,datetime,aggiornamento,fonte
Lombardia,1622,309,77,2008,469,135,2612,13556,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,397,53,366,816,17,37,870,3136,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,117,27,310,454,22,12,488,13023,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,73,20,62,155,,4,159,585,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Piemonte,57,30,52,139,,4,143,793,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Toscana,35,5,38,78,1,,79,1097,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lazio,26,8,16,50,3,1,54,1373,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Campania,12,,45,57,,,57,471,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Liguria,12,5,7,24,5,3,32,229,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Friuli V.G.,4,,24,28,3,,31,577,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sicilia,7,,15,22,2,,24,367,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Puglia,5,1,9,15,1,1,17,395,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Umbria,2,2,12,16,,,16,110,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Molise,3,2,7,12,,,12,104,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Trento,4,,6,10,,,10,122,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Abruzzo,9,,,9,,,9,96,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sardegna,2,,3,5,,,5,99,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Basilicata,1,,2,3,,,3,63,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Valle d'Aosta,,,7,7,,,7,28,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Calabria,2,,2,4,,,4,99,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Bolzano,4,,,4,,,4,36,2020-03-06,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lombardia,1169,244,364,1777,376,98,2251,12354,2020-03-05,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,327,32,299,658,10,30,698,2884,2020-03-05,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,92,24,264,380,17,10,407,11949,2020-03-05,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,57,19,44,120,,4,124,413,2020-03-05,pomeridiano,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
