Regione,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI,datetime,fonte
Lombardia,1169,244,364,1777,376,98,2251,12354,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,327,32,299,658,10,30,698,2884,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,92,24,264,380,17,10,407,11949,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,57,19,44,120,,4,124,413,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Piemonte,43,17,46,106,,2,108,543,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Toscana,26,3,31,60,1,,61,776,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lazio,20,7,14,41,3,,44,1175,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Campania,12,,33,45,,,45,471,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Liguria,11,3,7,21,4,3,28,146,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Friuli V.G.,4,,17,21,,,21,397,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sicilia,5,,11,16,2,,18,367,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Puglia,5,1,6,12,1,1,14,359,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Umbria,1,1,7,9,,,9,88,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Abruzzo,8,,,8,,,8,96,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Trento,2,,5,7,,,7,122,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Molise,4,,3,7,,,7,24,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Valle d'Aosta,,,2,2,,,2,21,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Calabria,1,,1,2,,,2,53,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sardegna,2,,,2,,,2,50,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Basilicata,,,1,1,,,1,54,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Bolzano,1,,,1,,,1,20,2020-03-05 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lombardia,877,209,411,1497,250,73,1820,12138,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,256,26,234,516,6,22,544,2500,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,76,23,246,345,9,6,360,10515,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Piemonte,26,13,43,82,,,82,543,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,34,15,31,80,,4,84,288,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Campania,11,,20,31,,,31,429,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Liguria,10,3,8,21,4,1,26,133,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Toscana,15,2,20,37,1,,38,776,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lazio,15,3,9,27,3,,30,995,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Friuli V.G.,3,,15,18,,,18,376,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sicilia,5,,11,16,2,,18,367,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Puglia,4,,3,7,1,1,9,322,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Abruzzo,7,,,7,,,7,85,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Trento,1,,4,5,,,5,122,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Molise,3,,,3,,,3,19,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Umbria,1,1,7,9,,,9,58,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Bolzano,1,,,1,,,1,20,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Calabria,,,1,1,,,1,46,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Sardegna,1,,1,2,,,2,42,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Basilicata,,,1,1,,,1,48,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Valle d'Aosta,,,,0,,,0,15,2020-03-04 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Lombardia,698,167,461,1326,139,55,1520,9577,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Emilia Romagna,187,24,187,398,4,18,420,2012,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Veneto,49,19,229,297,7,3,307,10176,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Piemonte,13,3,40,56,,,56,458,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Marche,27,13,19,59,,2,61,200,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
Campania,11,,19,30,,,30,405,2020-03-03 18:00:00,http://www.protezionecivile.gov.it/attivita-rischi/rischio-sanitario/emergenze/coronavirus/
