Regione,ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Totale attualmente positivi,DIMESSI GUARITI,DECEDUTI,CASI TOTALI,TAMPONI
Lombardia,478,127,472,1077,139,38,1254,7925
Emilia Romagna,148,16,160,324,,11,335,1973
Veneto,53,14,204,271,,2,273,9782
Piemonte,12,2,37,51,,,51,434
Marche,17,6,11,34,,1,35,137
Liguria,12,1,5,18,4,,22,121
Campania,4,,13,17,,,17,373
Toscana,7,,5,12,1,,13,613
Friuli V.G.,,,9,9,,,9,269
Sicilia,2,,3,5,2,,7,307
Lazio,3,,1,4,3,,7,773
Abruzzo,3,,2,5,,,5,52
Puglia,2,,2,4,,,4,278
Umbria,,,2,2,,,2,35
Bolzano,1,,,1,,,1,20
Calabria,,,1,1,,,1,39
Sardegna,,,,0,,,0,29
Valle d'Aosta,,,,0,,,0,11
Trento,,,,0,,,0,122
Molise,,,,0,,,0,13
Basilicata,,,,0,,,0,39
