PF/BT,ABR,0
PF/BT,ABR,ASL1 AVEZZANO SULMONA L'AQUILA 130003
PF/BT,ABR,CENTRO VACCINAZIONI L'AQUILA
PF/BT,ABR,OSPEDALE DELLA VAL VIBRATA
PF/BT,ABR,OSPEDALE MARIA S.S. DELLO SPLENDORE
PF/BT,ABR,OSPEDALE SAN LIBERATORE   DI ATRI  (TE)
PF/BT,ABR,"P.O. ""G. Mazzini"" - Teramo"
PF/BT,ABR,P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI
PF/BT,ABR,P.O. Pescara
PF/BT,ABR,PO SULMONA DELL'ANNUNZIATA
PF/BT,BAS,ASP - Ufficio Igiene di Potenza via della Fisica 18 A/B
PF/BT,BAS,IRCCS CROB
PF/BT,BAS,Sala Prelievo  Laboratorio Analisi
PF/BT,CAL, AZIENDA OSPEDALIERA COSENZA
PF/BT,CAL,AOU MATER DOMINI CATANZARO
PF/BT,CAL,"AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO"
PF/BT,CAL,AZIENDA OSPEDALIERA DI COSENZA
PF/BT,CAL,Azienda  Ospedaliero-Universitaria Mater Domini Catanzaro
PF/BT,CAL,GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA
PF/BT,CAL,GRANDE OSPEDALE METROPOLTIANO REGGIO CALABRIA
PF/BT,CAL,P.O. Melito PS
PF/BT,CAM,A.O.OO.RR.S.GIOVANNI DI DIO E RUGGI D'ARAGONA
PF/BT,CAM,AZIENDA OSPEDALIERA 'A. CARDARELLI'
PF/BT,CAM,AZIENDA OSPEDALIERA DEI COLLI
PF/BT,CAM,AZIENDA OSPEDALIERA S. G. MOSCATI
PF/BT,CAM,OSPEDALE CIVILE S. GIOVANNI DI DIO
PF/BT,CAM,OSPEDALE RIZZOLI
PF/BT,CAM,OSPEDALE S.M.DELLE GRAZIE
PF/BT,CAM,OSPEDALE SAN GIULIANO
PF/BT,CAM,OSPEDALI RIUNITI AREA NOLANA
PF/BT,CAM,P.O. S. MARIA DELLA SPERANZA BATTIPAGLIA
PF/BT,CAM,PRESIDIO OSPEDALIERO OSPEDALE DEL MARE
PF/BT,CAM,San Leonardo
PF/BT,EMR,Ambulatorio Itinerante
PF/BT,EMR,Ambulatorio vaccinale AUSL c/o IOR
PF/BT,EMR,CASA DI RESIDENZA PER ANZIANI CRESPELLANO
PF/BT,EMR,CASA PROTETTA FRANCESCO RAMPONI
PF/BT,EMR,CRA O.P. GALUPPI
PF/BT,EMR,CRA SALICETO
PF/BT,EMR,Ex Ospedale Lazzaro Spallanzani
PF/BT,EMR,Locali allestiti presso Cesena Fiera
PF/BT,EMR,Medical Center dell'Autodromo di Imola
PF/BT,EMR,PADIGLIONE POLIVALENTE FIERA
PF/BT,EMR,Pala De Andrè
PF/BT,EMR,Quartiere fieristico di Rimini
PF/BT,EMR,VILLA LINDA
PF/BT,EMR,punto unico provinciale vaccinale anti SARS-Cov-2
PF/BT,FVG,CATTINARA
PF/BT,FVG,H Tolmezzo
PF/BT,FVG,MONFALCONE
PF/BT,FVG,Ospedale Cattinara
