somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
12,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_912_AZIENDA OSPEDALIERA DI COSENZA_20-29,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,912_AZIENDA OSPEDALIERA DI COSENZA,20-29,CAL,ITF6
9,Calabria,TML_CAT_OSS,"27/12/2020_PF/BT_CAL_913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO_20-29",1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,"913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",20-29,CAL,ITF6
12,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_914_AOU MATER DOMINI CATANZARO_20-29,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,914_AOU MATER DOMINI CATANZARO,20-29,CAL,ITF6
12,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_915_GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA_20-29,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,915_GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,20-29,CAL,ITF6
12,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_912_AZIENDA OSPEDALIERA DI COSENZA_30-39,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,912_AZIENDA OSPEDALIERA DI COSENZA,30-39,CAL,ITF6
6,Calabria,TML_CAT_OSS,"27/12/2020_PF/BT_CAL_913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO_30-39",1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,"913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",30-39,CAL,ITF6
23,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_914_AOU MATER DOMINI CATANZARO_30-39,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,914_AOU MATER DOMINI CATANZARO,30-39,CAL,ITF6
3,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_915_GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA_30-39,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,915_GRANDE OSPEDALE METROPOLITANO REGGIO CALABRIA,30-39,CAL,ITF6
12,Calabria,TML_CAT_OSS,27/12/2020_PF/BT_CAL_912_AZIENDA OSPEDALIERA DI COSENZA_40-49,1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,912_AZIENDA OSPEDALIERA DI COSENZA,40-49,CAL,ITF6
6,Calabria,TML_CAT_OSS,"27/12/2020_PF/BT_CAL_913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO_40-49",1 - Operatori Sanitari e Sociosanitari,18,2020-12-27,PF/BT,"913_AZIENDA OSPEDALIERA ""PUGLIESE-CIACCIO"" CATANZARO",40-49,CAL,ITF6
