somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
4,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,20-29,FVG,ITH4
16,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,30-39,FVG,ITH4
50,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_40-49,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,40-49,FVG,ITH4
100,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_50-59,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,50-59,FVG,ITH4
85,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_60-69,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,60-69,FVG,ITH4
5,Friuli-Venezia Giulia,TML_CAT_OSS,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_70-79,1 - Operatori Sanitari e Sociosanitari,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,70-79,FVG,ITH4
1,Friuli-Venezia Giulia,TML_CAT_PERSONALE,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_20-29,2 - Personale non Sanitario,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,20-29,FVG,ITH4
2,Friuli-Venezia Giulia,TML_CAT_PERSONALE,27/12/2020_PF/BT_FVG_ND_Sede Regionale Protezione Civile_50-59,2 - Personale non Sanitario,06,2020-12-27,PF/BT,ND_Sede Regionale Protezione Civile,50-59,FVG,ITH4
14,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_117510_Ospedale Pordenone_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,117510_Ospedale Pordenone,20-29,FVG,ITH4
7,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_12M810_Ospedale Monfalcone_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,12M810_Ospedale Monfalcone,20-29,FVG,ITH4
9,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_14VP13_Ospedale Udine_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,14VP13_Ospedale Udine,20-29,FVG,ITH4
11,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_201010_Ospedale Cattinara_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,201010_Ospedale Cattinara,20-29,FVG,ITH4
1,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_220101_H Tolmezzo_20-29,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,220101_H Tolmezzo,20-29,FVG,ITH4
32,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_117510_Ospedale Pordenone_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,117510_Ospedale Pordenone,30-39,FVG,ITH4
25,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_12M810_Ospedale Monfalcone_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,12M810_Ospedale Monfalcone,30-39,FVG,ITH4
34,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_14VP13_Ospedale Udine_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,14VP13_Ospedale Udine,30-39,FVG,ITH4
20,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_201010_Ospedale Cattinara_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,201010_Ospedale Cattinara,30-39,FVG,ITH4
10,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_220101_H Tolmezzo_30-39,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,220101_H Tolmezzo,30-39,FVG,ITH4
60,Friuli-Venezia Giulia,TML_CAT_OSS,30/12/2020_PF/BT_FVG_117510_Ospedale Pordenone_40-49,1 - Operatori Sanitari e Sociosanitari,06,2020-12-30,PF/BT,117510_Ospedale Pordenone,40-49,FVG,ITH4
