somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
5,Abruzzo,TML_CAT_OSS,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_20-29",1 - Operatori Sanitari e Sociosanitari,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",20-29,ABR,ITF1
16,Abruzzo,TML_CAT_OSS,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_30-39",1 - Operatori Sanitari e Sociosanitari,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",30-39,ABR,ITF1
28,Abruzzo,TML_CAT_OSS,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_40-49",1 - Operatori Sanitari e Sociosanitari,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",40-49,ABR,ITF1
31,Abruzzo,TML_CAT_OSS,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_50-59",1 - Operatori Sanitari e Sociosanitari,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",50-59,ABR,ITF1
35,Abruzzo,TML_CAT_OSS,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_60-69",1 - Operatori Sanitari e Sociosanitari,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",60-69,ABR,ITF1
1,Abruzzo,TML_CAT_ALTRO,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_40-49",2 - Personale non Sanitario,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",40-49,ABR,ITF1
1,Abruzzo,TML_CAT_PERSONALE,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_40-49",2 - Personale non Sanitario,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",40-49,ABR,ITF1
3,Abruzzo,TML_CAT_ALTRO,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_50-59",2 - Personale non Sanitario,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",50-59,ABR,ITF1
2,Abruzzo,TML_CAT_PERSONALE,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_60-69",2 - Personale non Sanitario,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",60-69,ABR,ITF1
11,Abruzzo,TML_CAT_ALTRO,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_60-69",2 - Personale non Sanitario,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",60-69,ABR,ITF1
1,Abruzzo,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_70-79",3 - Ospiti Strutture Residenziali,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",70-79,ABR,ITF1
1,Abruzzo,TML_CAT_RSA_OSPITI,"27/12/2020_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_80-89",3 - Ospiti Strutture Residenziali,13,2020-12-27,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",80-89,ABR,ITF1
1,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_HSP11_CENTRO VACCINAZIONI L'AQUILA_16-19,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,HSP11_CENTRO VACCINAZIONI L'AQUILA,16-19,ABR,ITF1
2,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130002_PO SULMONA DELL'ANNUNZIATA_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130002_PO SULMONA DELL'ANNUNZIATA,20-29,ABR,ITF1
18,Abruzzo,TML_CAT_OSS,"02/01/2021_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_20-29",1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",20-29,ABR,ITF1
8,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130015_OSPEDALE MARIA S.S. DELLO SPLENDORE_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130015_OSPEDALE MARIA S.S. DELLO SPLENDORE,20-29,ABR,ITF1
12,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130016_OSPEDALE SAN LIBERATORE DI ATRI (TE)_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130016_OSPEDALE SAN LIBERATORE DI ATRI (TE),20-29,ABR,ITF1
10,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130017_OSPEDALE DELLA VAL VIBRATA_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130017_OSPEDALE DELLA VAL VIBRATA,20-29,ABR,ITF1
12,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130018_P.O. Pescara_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130018_P.O. Pescara,20-29,ABR,ITF1
7,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_26_P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,26_P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI,20-29,ABR,ITF1
2,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_HSP11_CENTRO VACCINAZIONI L'AQUILA_20-29,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,HSP11_CENTRO VACCINAZIONI L'AQUILA,20-29,ABR,ITF1
4,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130002_PO SULMONA DELL'ANNUNZIATA_30-39,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130002_PO SULMONA DELL'ANNUNZIATA,30-39,ABR,ITF1
30,Abruzzo,TML_CAT_OSS,"02/01/2021_PF/BT_ABR_130014_P.O. ""G. Mazzini"" - Teramo_30-39",1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,"130014_P.O. ""G. Mazzini"" - Teramo",30-39,ABR,ITF1
14,Abruzzo,TML_CAT_OSS,02/01/2021_PF/BT_ABR_130015_OSPEDALE MARIA S.S. DELLO SPLENDORE_30-39,1 - Operatori Sanitari e Sociosanitari,13,2021-01-02,PF/BT,130015_OSPEDALE MARIA S.S. DELLO SPLENDORE,30-39,ABR,ITF1
