somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
32,Lazio,TML_CAT_OSS,27/12/2020_PF/BT_LAZ_511_IRCCS INMI L. Spallanzani_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-27,PF/BT,511_IRCCS INMI L. Spallanzani,20-29,LAZ,ITI4
40,Lazio,TML_CAT_OSS,27/12/2020_PF/BT_LAZ_511_IRCCS INMI L. Spallanzani_30-39,1 - Operatori Sanitari e Sociosanitari,12,2020-12-27,PF/BT,511_IRCCS INMI L. Spallanzani,30-39,LAZ,ITI4
27,Lazio,TML_CAT_OSS,27/12/2020_PF/BT_LAZ_511_IRCCS INMI L. Spallanzani_40-49,1 - Operatori Sanitari e Sociosanitari,12,2020-12-27,PF/BT,511_IRCCS INMI L. Spallanzani,40-49,LAZ,ITI4
28,Lazio,TML_CAT_OSS,27/12/2020_PF/BT_LAZ_511_IRCCS INMI L. Spallanzani_50-59,1 - Operatori Sanitari e Sociosanitari,12,2020-12-27,PF/BT,511_IRCCS INMI L. Spallanzani,50-59,LAZ,ITI4
12,Lazio,TML_CAT_OSS,27/12/2020_PF/BT_LAZ_511_IRCCS INMI L. Spallanzani_60-69,1 - Operatori Sanitari e Sociosanitari,12,2020-12-27,PF/BT,511_IRCCS INMI L. Spallanzani,60-69,LAZ,ITI4
11,Lazio,TML_CAT_OSS,28/12/2020_PF/BT_LAZ_109_ASL VITERBO_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-28,PF/BT,109_ASL VITERBO,20-29,LAZ,ITI4
14,Lazio,TML_CAT_OSS,28/12/2020_PF/BT_LAZ_201_ASL ROMA 1_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-28,PF/BT,201_ASL ROMA 1,20-29,LAZ,ITI4
18,Lazio,TML_CAT_OSS,28/12/2020_PF/BT_LAZ_202_ASL ROMA 2_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-28,PF/BT,202_ASL ROMA 2,20-29,LAZ,ITI4
4,Lazio,TML_CAT_OSS,28/12/2020_PF/BT_LAZ_502_IRCCS Ospedale Pediatrico Bambino Gesù_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-28,PF/BT,502_IRCCS Ospedale Pediatrico Bambino Gesù,20-29,LAZ,ITI4
1,Lazio,TML_CAT_OSS,28/12/2020_PF/BT_LAZ_504_Azienda Ospedaliera Universitaria Sant’Andrea_20-29,1 - Operatori Sanitari e Sociosanitari,12,2020-12-28,PF/BT,504_Azienda Ospedaliera Universitaria Sant’Andrea,20-29,LAZ,ITI4
