somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione
9,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,20-29,PIE
35,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,20-29,PIE
8,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,20-29,PIE
3,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,20-29,PIE
2,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,20-29,PIE
10,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010908_CENTRO VACCINALE MAURIZIANO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010908_CENTRO VACCINALE MAURIZIANO,20-29,PIE
13,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010909_CENTRO VACC CITTÀ DELLA SALUTE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010909_CENTRO VACC CITTÀ DELLA SALUTE,20-29,PIE
1,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570189_CASA DI RIPOSO CITTÀ DI ASTI_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570189_CASA DI RIPOSO CITTÀ DI ASTI,20-29,PIE
2,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_570514_CASA CURA LA RESIDENZA RODELLO_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,570514_CASA CURA LA RESIDENZA RODELLO,20-29,PIE
2,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_670683_ISTITUTO GAUDENZIO DE PAGAVE_20-29,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,670683_ISTITUTO GAUDENZIO DE PAGAVE,20-29,PIE
24,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010011_CENTRO VACC S G BOSCO_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010011_CENTRO VACC S G BOSCO,30-39,PIE
39,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010013_CENTRO VACC. AMEDEO DI SAVOIA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010013_CENTRO VACC. AMEDEO DI SAVOIA,30-39,PIE
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010905_CENTRO VACCINALE AOU NOVARA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010905_CENTRO VACCINALE AOU NOVARA,30-39,PIE
15,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010906_CENTRO VACCINALE S. CROCE CN_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010906_CENTRO VACCINALE S. CROCE CN,30-39,PIE
7,Piemonte,TML_CAT_OSS,27/12/2020_PF/BT_PIE_010907_CENTRO VACC. AOU ALESSANDRIA_30-39,1 - Operatori Sanitari e Sociosanitari,01,2020-12-27,PF/BT,010907_CENTRO VACC. AOU ALESSANDRIA,30-39,PIE
