somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_20-29,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200036_P.O. A. BUSINCO - AOB,20-29,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_20-29,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200904_P.O. SAN MICHELE - AOB,20-29,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200036_P.O. A. BUSINCO - AOB,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200036_P.O. A. BUSINCO - AOB,40-49,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200904_P.O. SAN MICHELE - AOB,40-49,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_50-59,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200036_P.O. A. BUSINCO - AOB,50-59,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_50-59,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200904_P.O. SAN MICHELE - AOB,50-59,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_60-69,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200036_P.O. A. BUSINCO - AOB,60-69,SAR,ITG2
15,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_60-69,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200904_P.O. SAN MICHELE - AOB,60-69,SAR,ITG2
1,Sardegna,TML_CAT_OSS,27/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_70-79,1 - Operatori Sanitari e Sociosanitari,20,2020-12-27,PF/BT,200904_P.O. SAN MICHELE - AOB,70-79,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_20-29,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200036_P.O. A. BUSINCO - AOB,20-29,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200036_P.O. A. BUSINCO - AOB,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200904_P.O. SAN MICHELE - AOB,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200036_P.O. A. BUSINCO - AOB,40-49,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200904_P.O. SAN MICHELE - AOB,40-49,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_50-59,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200036_P.O. A. BUSINCO - AOB,50-59,SAR,ITG2
15,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_50-59,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200904_P.O. SAN MICHELE - AOB,50-59,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200036_P.O. A. BUSINCO - AOB_60-69,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200036_P.O. A. BUSINCO - AOB,60-69,SAR,ITG2
1,Sardegna,TML_CAT_OSS,28/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_60-69,1 - Operatori Sanitari e Sociosanitari,20,2020-12-28,PF/BT,200904_P.O. SAN MICHELE - AOB,60-69,SAR,ITG2
1,Sardegna,TML_CAT_OSS,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_20-29,1 - Operatori Sanitari e Sociosanitari,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,20-29,SAR,ITG2
1,Sardegna,TML_CAT_OSS,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,40-49,SAR,ITG2
17,Sardegna,TML_CAT_OSS,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_50-59,1 - Operatori Sanitari e Sociosanitari,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,50-59,SAR,ITG2
15,Sardegna,TML_CAT_OSS,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_60-69,1 - Operatori Sanitari e Sociosanitari,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,60-69,SAR,ITG2
1,Sardegna,TML_CAT_PERSONALE,29/12/2020_PF/BT_SAR_200904_P.O. SAN MICHELE - AOB_50-59,2 - Personale non Sanitario,20,2020-12-29,PF/BT,200904_P.O. SAN MICHELE - AOB,50-59,SAR,ITG2
1,Sardegna,TML_CAT_OSS,31/12/2020_PF/BT_SAR_200905_AZIENDA OSPEDALIERO UNIVERSITARIA SS_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-31,PF/BT,200905_AZIENDA OSPEDALIERO UNIVERSITARIA SS,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,31/12/2020_PF/BT_SAR_200906_A.O.U. Cagliari_30-39,1 - Operatori Sanitari e Sociosanitari,20,2020-12-31,PF/BT,200906_A.O.U. Cagliari,30-39,SAR,ITG2
1,Sardegna,TML_CAT_OSS,31/12/2020_PF/BT_SAR_200905_AZIENDA OSPEDALIERO UNIVERSITARIA SS_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-31,PF/BT,200905_AZIENDA OSPEDALIERO UNIVERSITARIA SS,40-49,SAR,ITG2
1,Sardegna,TML_CAT_OSS,31/12/2020_PF/BT_SAR_200906_A.O.U. Cagliari_40-49,1 - Operatori Sanitari e Sociosanitari,20,2020-12-31,PF/BT,200906_A.O.U. Cagliari,40-49,SAR,ITG2
