somministrazioni,regione,siglaCategoria,identificativo,categoria,codice_regione,data,vaccino,punto,classeEta,siglaRegione,NUTS2
21,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_20-29,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,20-29,PAB,ITH1
25,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_30-39,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,30-39,PAB,ITH1
37,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_40-49,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,40-49,PAB,ITH1
46,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_50-59,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,50-59,PAB,ITH1
12,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_60-69,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,60-69,PAB,ITH1
1,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_70-79,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,70-79,PAB,ITH1
1,Trentino-Alto Adige,TML_CAT_OSS,27/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_80-89,1 - Operatori Sanitari e Sociosanitari,04,2020-12-27,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,80-89,PAB,ITH1
3,Trentino-Alto Adige,TML_CAT_OSS,30/12/2020_PF/BT_PAB_041005_Ospedale Aziendale di Brunico_20-29,1 - Operatori Sanitari e Sociosanitari,04,2020-12-30,PF/BT,041005_Ospedale Aziendale di Brunico,20-29,PAB,ITH1
37,Trentino-Alto Adige,TML_CAT_OSS,30/12/2020_PF/BT_PAB_41001_OSPEDALE CENTRALE DI BOLZANO_20-29,1 - Operatori Sanitari e Sociosanitari,04,2020-12-30,PF/BT,41001_OSPEDALE CENTRALE DI BOLZANO,20-29,PAB,ITH1
1,Trentino-Alto Adige,TML_CAT_OSS,30/12/2020_PF/BT_PAB_41006_Ospedale di base Vipiteno_20-29,1 - Operatori Sanitari e Sociosanitari,04,2020-12-30,PF/BT,41006_Ospedale di base Vipiteno,20-29,PAB,ITH1
2,Trentino-Alto Adige,TML_CAT_OSS,30/12/2020_PF/BT_PAB_HSP11-11bis_KH Innichen_20-29,1 - Operatori Sanitari e Sociosanitari,04,2020-12-30,PF/BT,HSP11-11bis_KH Innichen,20-29,PAB,ITH1
