OBJECTID,PROVINCIA,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
586,LODI,20200316,150,1319,LOMBARDIA,1
587,LODI,20200317,95,1414,LOMBARDIA,2
588,LODI,20200318,79,1493,LOMBARDIA,3
589,LODI,20200319,69,1562,LOMBARDIA,4
590,LODI,20200320,76,1638,LOMBARDIA,5
591,LODI,20200321,25,1663,LOMBARDIA,6
592,LODI,20200322,19,1682,LOMBARDIA,7
593,LODI,20200323,74,1756,LOMBARDIA,8
594,LODI,20200324,41,1797,LOMBARDIA,9
595,LODI,20200325,54,1851,LOMBARDIA,10
596,LODI,20200326,59,1910,LOMBARDIA,11
597,LODI,20200327,53,1963,LOMBARDIA,12
598,LODI,20200328,33,1996,LOMBARDIA,13
599,LODI,20200329,10,2006,LOMBARDIA,14
600,LODI,20200330,48,2054,LOMBARDIA,15
601,LODI,20200331,44,2098,LOMBARDIA,16
602,LODI,20200401,31,2129,LOMBARDIA,17
603,LODI,20200402,36,2165,LOMBARDIA,18
604,LODI,20200403,34,2199,LOMBARDIA,19
605,LODI,20200404,30,2229,LOMBARDIA,20
606,LODI,20200405,6,2235,LOMBARDIA,21
607,LODI,20200406,58,2293,LOMBARDIA,22
608,LODI,20200407,38,2331,LOMBARDIA,23
609,LODI,20200408,42,2373,LOMBARDIA,24
610,LODI,20200409,93,2466,LOMBARDIA,25
611,LODI,20200410,81,2547,LOMBARDIA,26
612,LODI,20200411,18,2565,LOMBARDIA,27
613,LODI,20200412,9,2574,LOMBARDIA,28
614,LODI,20200413,8,2582,LOMBARDIA,29
615,LODI,20200414,17,2599,LOMBARDIA,30
616,LODI,20200415,53,2652,LOMBARDIA,31
617,LODI,20200416,50,2702,LOMBARDIA,32
618,LODI,20200417,25,2727,LOMBARDIA,33
619,LODI,20200418,19,2746,LOMBARDIA,34
620,LODI,20200419,2,2748,LOMBARDIA,35
621,LODI,20200420,16,2764,LOMBARDIA,36
622,LODI,20200421,36,2800,LOMBARDIA,37
623,LODI,20200422,47,2847,LOMBARDIA,38
624,LODI,20200423,33,2880,LOMBARDIA,39
625,LODI,20200424,39,2919,LOMBARDIA,40
626,LODI,20200425,14,2933,LOMBARDIA,41
627,LODI,20200426,10,2943,LOMBARDIA,42
628,LODI,20200427,14,2957,LOMBARDIA,43
629,LODI,20200428,22,2979,LOMBARDIA,44
630,LODI,20200429,9,2988,LOMBARDIA,45
631,LODI,20200430,49,3037,LOMBARDIA,46
632,LODI,20200501,3,3040,LOMBARDIA,47
633,LODI,20200502,22,3062,LOMBARDIA,48
634,LODI,20200503,17,3079,LOMBARDIA,49
635,LODI,20200504,51,3130,LOMBARDIA,50
731,MANTOVA,20200511,11,3265,LOMBARDIA,51
732,MANTOVA,20200512,6,3271,LOMBARDIA,52
733,MANTOVA,20200513,11,3282,LOMBARDIA,53
734,MANTOVA,20200514,2,3284,LOMBARDIA,54
735,MANTOVA,20200515,4,3288,LOMBARDIA,55
736,MANTOVA,20200516,6,3294,LOMBARDIA,56
1230,MANTOVA,20200517,0,3294,LOMBARDIA,57
737,MANTOVA,20200518,4,3298,LOMBARDIA,58
738,MANTOVA,20200519,6,3304,LOMBARDIA,59
739,MANTOVA,20200520,8,3312,LOMBARDIA,60
740,MANTOVA,20200521,2,3314,LOMBARDIA,61
741,MANTOVA,20200522,8,3322,LOMBARDIA,62
742,MANTOVA,20200523,1,3323,LOMBARDIA,63
1231,MANTOVA,20200524,1,3323,LOMBARDIA,64
743,MANTOVA,20200525,4,3327,LOMBARDIA,65
744,MANTOVA,20200526,2,3329,LOMBARDIA,66
1233,MANTOVA,20200527,1,3331,LOMBARDIA,67
745,MILANO,20200221,1,1,LOMBARDIA,68
1206,MILANO,20200222,0,1,LOMBARDIA,69
746,MILANO,20200223,1,2,LOMBARDIA,70
747,MILANO,20200224,6,8,LOMBARDIA,71
748,MILANO,20200225,7,15,LOMBARDIA,72
749,MILANO,20200226,7,22,LOMBARDIA,73
750,MILANO,20200227,11,33,LOMBARDIA,74
751,MILANO,20200228,10,43,LOMBARDIA,75
752,MILANO,20200229,13,56,LOMBARDIA,76
753,MILANO,20200301,20,76,LOMBARDIA,77
754,MILANO,20200302,35,111,LOMBARDIA,78
755,MILANO,20200303,44,155,LOMBARDIA,79
756,MILANO,20200304,63,218,LOMBARDIA,80
757,MILANO,20200305,111,329,LOMBARDIA,81
758,MILANO,20200306,91,420,LOMBARDIA,82
759,MILANO,20200307,83,503,LOMBARDIA,83
760,MILANO,20200308,104,607,LOMBARDIA,84
761,MILANO,20200309,123,730,LOMBARDIA,85
762,MILANO,20200310,214,944,LOMBARDIA,86
763,MILANO,20200311,179,1123,LOMBARDIA,87
764,MILANO,20200312,151,1274,LOMBARDIA,88
765,MILANO,20200313,211,1485,LOMBARDIA,89
924,MONZA E DELLA BRIANZA,20200517,8,5226,LOMBARDIA,90
766,MILANO,20200314,219,1704,LOMBARDIA,91
767,MILANO,20200315,211,1915,LOMBARDIA,92
768,MILANO,20200316,418,2333,LOMBARDIA,93
769,MILANO,20200317,388,2721,LOMBARDIA,94
770,MILANO,20200318,489,3210,LOMBARDIA,95
771,MILANO,20200319,495,3705,LOMBARDIA,96
772,MILANO,20200320,478,4183,LOMBARDIA,97
773,MILANO,20200321,316,4499,LOMBARDIA,98
774,MILANO,20200322,329,4828,LOMBARDIA,99
775,MILANO,20200323,489,5317,LOMBARDIA,100
776,MILANO,20200324,555,5872,LOMBARDIA,101
925,MONZA E DELLA BRIANZA,20200518,52,5278,LOMBARDIA,102
926,MONZA E DELLA BRIANZA,20200519,19,5297,LOMBARDIA,103
927,MONZA E DELLA BRIANZA,20200520,8,5305,LOMBARDIA,104
928,MONZA E DELLA BRIANZA,20200521,11,5316,LOMBARDIA,105
929,MONZA E DELLA BRIANZA,20200522,23,5339,LOMBARDIA,106
930,MONZA E DELLA BRIANZA,20200523,24,5363,LOMBARDIA,107
931,MONZA E DELLA BRIANZA,20200524,2,5365,LOMBARDIA,108
932,MONZA E DELLA BRIANZA,20200525,13,5378,LOMBARDIA,109
933,MONZA E DELLA BRIANZA,20200526,91,5469,LOMBARDIA,110
1235,MONZA E DELLA BRIANZA,20200527,96,5483,LOMBARDIA,111
934,PAVIA,20200221,1,1,LOMBARDIA,112
935,PAVIA,20200222,1,2,LOMBARDIA,113
936,PAVIA,20200223,8,10,LOMBARDIA,114
937,PAVIA,20200224,5,15,LOMBARDIA,115
938,PAVIA,20200225,5,20,LOMBARDIA,116
939,PAVIA,20200226,16,36,LOMBARDIA,117
940,PAVIA,20200227,17,53,LOMBARDIA,118
1,BERGAMO,20200220,1,1,LOMBARDIA,119
2,BERGAMO,20200221,1,2,LOMBARDIA,120
3,BERGAMO,20200222,3,5,LOMBARDIA,121
4,BERGAMO,20200223,2,7,LOMBARDIA,122
5,BERGAMO,20200224,10,17,LOMBARDIA,123
6,BERGAMO,20200225,23,40,LOMBARDIA,124
7,BERGAMO,20200226,36,76,LOMBARDIA,125
8,BERGAMO,20200227,41,117,LOMBARDIA,126
9,BERGAMO,20200228,76,193,LOMBARDIA,127
10,BERGAMO,20200229,74,267,LOMBARDIA,128
11,BERGAMO,20200301,75,342,LOMBARDIA,129
12,BERGAMO,20200302,91,433,LOMBARDIA,130
13,BERGAMO,20200303,138,571,LOMBARDIA,131
14,BERGAMO,20200304,194,765,LOMBARDIA,132
