Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA
Abruzzo,683,17.774,11.908,912,624,5%,567,43,"3,70%",57,"4,37","9,60%"
Basilicata,307,4.556,3.600,646,164,5%,141,25,"5,20%",23,"4,13","21,10%"
Calabria,297,9.416,6.677,347,365,5%,338,18,"13,40%",27,"1,40","28,60%"
Campania,4.079,104.065,83.220,1.438,2.336,3%,2.153,37,"10,80%",183,"3,16","-4,70%"
Emilia-Romagna,2.384,83.068,48.156,1.078,2.389,5%,2.164,48,"3,30%",225,"5,04","-1,30%"
Friuli Venezia Giulia,831,17.771,9.151,755,413,5%,366,30,"5,80%",47,"3,88","0,00%"
Lazio,2.925,78.665,62.399,1.064,3.278,5%,3.018,51,"2,20%",260,"4,43","0,40%"
Liguria,1.209,41.464,14.885,965,1.482,10%,1.372,89,"0,70%",110,"7,13","0,90%"
Lombardia,10.634,304.591,151.269,1.497,8.120,5%,7.319,72,"3,90%",801,"7,93","2,40%"
Marche,740,21.830,12.834,845,633,5%,559,37,"4,30%",74,"4,87","0,00%"
Molise,63,2.789,1.879,622,62,3%,55,18,"0,00%",7,"2,32","0,00%"
P.A. Bolzano,820,15.984,9.714,1.826,494,5%,453,85,"1,10%",41,"7,71","-2,40%"
P.A. Trento,202,12.094,2.920,538,383,13%,353,65,"4,40%",30,"5,53","0,00%"
Piemonte,5.258,117.312,66.654,1.535,5.243,8%,4.890,113,"1,20%",353,"8,13","1,40%"
Puglia,1.350,31.792,22.511,562,1.407,6%,1.249,31,"4,70%",158,"3,94","9,00%"
Sardegna,623,14.417,9.693,594,529,5%,472,29,"11,30%",57,"3,50","1,80%"
Sicilia,1.707,38.381,26.286,529,1.660,6%,1.450,29,"4,20%",210,"4,23","2,40%"
Toscana,2.478,74.330,50.129,1.347,1.921,4%,1.656,44,"0,20%",265,"7,12","3,50%"
Umbria,604,17.640,10.390,1.180,427,4%,359,41,"1,40%",68,"7,72","-1,40%"
Valle d'Aosta,103,4.858,2.363,1.883,164,7%,149,119,"-6,30%",15,"11,95","-6,30%"
Veneto,3.605,94.506,57.288,1.167,2.050,4%,1.831,37,"3,90%",219,"4,46","2,80%"
Italia,40.902,1.107.303,663.926,1.102,34.144,5%,30.914,51,"3,50%",3.230,"5,36","1,90%"
